size intersection,size union,state,k,mean JI
0,20,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,10,0.037037037037037035
1,219,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,110,0.05165525114155251
1,419,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,210,0.06151618352953795
1,619,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,310,0.06419707281384134
2,818,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,410,0.06426764025755602
5,1015,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,510,0.07408156443861504
12,1208,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,610,0.08768893522597941
16,1404,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,710,0.09141160436928386
18,1602,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,810,0.1001105665790103
23,1797,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,910,0.10817070186273076
25,1995,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1010,0.10677023389939444
32,2188,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1110,0.10883369510577644
39,2381,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1210,0.1113126016501415
54,2566,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1310,0.11773930243925618
63,2757,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1410,0.12149484267440784
73,2947,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1510,0.12283005057518394
84,3136,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1610,0.12573982133019726
94,3326,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1710,0.12718797894397635
112,3508,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1810,0.12996881755018266
128,3692,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1910,0.1318955240459059
150,3870,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2010,0.13658439559400942
173,4047,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2110,0.139743878636864
200,4220,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2210,0.1440843263081865
220,4400,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2310,0.14773082489146164
241,4579,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2410,0.1502094520708128
259,4761,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2510,0.15295179388434973
285,4935,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2610,0.15547662571960744
317,5103,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2710,0.15870086509168216
346,5274,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2810,0.16210722938167413
376,5444,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2910,0.1651816071684223
401,5619,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3010,0.16806418834495243
430,5790,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3110,0.16943648543123216
453,5967,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3210,0.1698731930032916
483,6137,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3310,0.17193230707006937
518,6302,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3410,0.17515855819384527
554,6466,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3510,0.17752362538533736
588,6632,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3610,0.17984343149127738
622,6798,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3710,0.18293844582723706
658,6962,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3810,0.1850092413836972
686,7134,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3910,0.1866645832083206
728,7292,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4010,0.1887913482996224
770,7450,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4110,0.19069985620205462
796,7624,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4210,0.19246633899946583
830,7790,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4310,0.19393143498369447
870,7950,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4410,0.1956163478283454
907,8113,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4510,0.1971655612555234
935,8285,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4610,0.19750740116642285
964,8456,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4710,0.19770831539550918
1003,8617,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4810,0.1996681010921492
1043,8777,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4910,0.20129302766976997
