size intersection,size union,state,k,mean JI
0,20,filledblack or african americanwhite_,10,0.0
0,220,filledblack or african americanwhite_,110,0.0
9,411,filledblack or african americanwhite_,210,0.021897810218978103
34,586,filledblack or african americanwhite_,310,0.05802047781569966
54,766,filledblack or african americanwhite_,410,0.07049608355091384
83,937,filledblack or african americanwhite_,510,0.08858057630736393
119,1101,filledblack or african americanwhite_,610,0.1080835603996367
149,1271,filledblack or african americanwhite_,710,0.11723052714398112
182,1438,filledblack or african americanwhite_,810,0.12656467315716272
214,1606,filledblack or african americanwhite_,910,0.13325031133250312
252,1768,filledblack or african americanwhite_,1010,0.1425339366515837
289,1931,filledblack or african americanwhite_,1110,0.14966338684619368
325,2095,filledblack or african americanwhite_,1210,0.15513126491646778
363,2257,filledblack or african americanwhite_,1310,0.16083296411165263
407,2413,filledblack or african americanwhite_,1410,0.16866970576046414
450,2570,filledblack or african americanwhite_,1510,0.17509727626459143
494,2726,filledblack or african americanwhite_,1610,0.18121790168745414
536,2884,filledblack or african americanwhite_,1710,0.18585298196948682
585,3035,filledblack or african americanwhite_,1810,0.1927512355848435
643,3177,filledblack or african americanwhite_,1910,0.20239219389361032
697,3323,filledblack or african americanwhite_,2010,0.20975022569966897
733,3487,filledblack or african americanwhite_,2110,0.21020934901061084
772,3648,filledblack or african americanwhite_,2210,0.21162280701754385
815,3805,filledblack or african americanwhite_,2310,0.21419185282522996
847,3973,filledblack or african americanwhite_,2410,0.2131890259249937
885,4135,filledblack or african americanwhite_,2510,0.2140266021765417
927,4293,filledblack or african americanwhite_,2610,0.21593291404612158
968,4452,filledblack or african americanwhite_,2710,0.2174303683737646
1006,4614,filledblack or african americanwhite_,2810,0.21803207628955354
1047,4773,filledblack or african americanwhite_,2910,0.21935889377749843
1086,4934,filledblack or african americanwhite_,3010,0.2201053911633563
1125,5095,filledblack or african americanwhite_,3110,0.22080471050049066
1166,5254,filledblack or african americanwhite_,3210,0.2219261515036163
1202,5418,filledblack or african americanwhite_,3310,0.22185308231819859
1247,5573,filledblack or african americanwhite_,3410,0.22375740175847839
1288,5732,filledblack or african americanwhite_,3510,0.22470341939986044
1326,5894,filledblack or african americanwhite_,3610,0.22497455039022735
1357,6063,filledblack or african americanwhite_,3710,0.22381659244598384
1395,6225,filledblack or african americanwhite_,3810,0.22409638554216868
1435,6385,filledblack or african americanwhite_,3910,0.22474549725920126
1479,6541,filledblack or african americanwhite_,4010,0.22611221525760586
1532,6688,filledblack or african americanwhite_,4110,0.229066985645933
1566,6854,filledblack or african americanwhite_,4210,0.2284797198716078
1622,6998,filledblack or african americanwhite_,4310,0.23178050871677622
1653,7167,filledblack or african americanwhite_,4410,0.23064043532858935
1692,7328,filledblack or african americanwhite_,4510,0.23089519650655022
1744,7476,filledblack or african americanwhite_,4610,0.23327982878544676
1777,7643,filledblack or african americanwhite_,4710,0.23250032709668977
1812,7808,filledblack or african americanwhite_,4810,0.23206967213114754
1858,7962,filledblack or african americanwhite_,4910,0.23335845265008792
