size intersection,size union,state,k,mean JI
0,20,filledfemalemale_,10,0.0
15,205,filledfemalemale_,110,0.07317073170731707
41,379,filledfemalemale_,210,0.10817941952506596
88,532,filledfemalemale_,310,0.16541353383458646
129,691,filledfemalemale_,410,0.18668596237337193
174,846,filledfemalemale_,510,0.20567375886524822
235,985,filledfemalemale_,610,0.23857868020304568
293,1127,filledfemalemale_,710,0.25998225377107365
338,1282,filledfemalemale_,810,0.26365054602184085
385,1435,filledfemalemale_,910,0.2682926829268293
439,1581,filledfemalemale_,1010,0.27767235926628714
504,1716,filledfemalemale_,1110,0.2937062937062937
564,1856,filledfemalemale_,1210,0.30387931034482757
619,2001,filledfemalemale_,1310,0.30934532733633185
675,2145,filledfemalemale_,1410,0.3146853146853147
729,2291,filledfemalemale_,1510,0.3182016586643387
779,2441,filledfemalemale_,1610,0.31913150348217945
831,2589,filledfemalemale_,1710,0.320973348783314
888,2732,filledfemalemale_,1810,0.32503660322108346
937,2883,filledfemalemale_,1910,0.3250086715227194
998,3022,filledfemalemale_,2010,0.3302448709463931
1050,3170,filledfemalemale_,2110,0.3312302839116719
1098,3322,filledfemalemale_,2210,0.3305237808549067
1156,3464,filledfemalemale_,2310,0.33371824480369516
1231,3589,filledfemalemale_,2410,0.34299247701309554
1294,3726,filledfemalemale_,2510,0.34728931830381105
1341,3879,filledfemalemale_,2610,0.345707656612529
1402,4018,filledfemalemale_,2710,0.34892981582877053
1455,4165,filledfemalemale_,2810,0.34933973589435774
1508,4312,filledfemalemale_,2910,0.349721706864564
1554,4466,filledfemalemale_,3010,0.34796238244514105
1617,4603,filledfemalemale_,3110,0.35129263523788834
1668,4752,filledfemalemale_,3210,0.351010101010101
1732,4888,filledfemalemale_,3310,0.35433715220949263
1771,5049,filledfemalemale_,3410,0.35076252723311546
1834,5186,filledfemalemale_,3510,0.35364442730428075
1894,5326,filledfemalemale_,3610,0.35561396920766053
1952,5468,filledfemalemale_,3710,0.35698610095098754
2003,5617,filledfemalemale_,3810,0.35659604771230197
2055,5765,filledfemalemale_,3910,0.3564614050303556
2105,5915,filledfemalemale_,4010,0.3558748943364328
2169,6051,filledfemalemale_,4110,0.35845314823996033
2234,6186,filledfemalemale_,4210,0.36113805366957646
2299,6321,filledfemalemale_,4310,0.36370827400727734
2355,6465,filledfemalemale_,4410,0.3642691415313225
2415,6605,filledfemalemale_,4510,0.36563209689629067
2482,6738,filledfemalemale_,4610,0.36835856337192047
2533,6887,filledfemalemale_,4710,0.3677943952374038
2595,7025,filledfemalemale_,4810,0.3693950177935943
2651,7169,filledfemalemale_,4910,0.36978658111312596
