size intersection,size union,state,k,mean JI
1,19,filledblack or african americanwhite_,10,0.05263157894736842
39,181,filledblack or african americanwhite_,110,0.2154696132596685
85,335,filledblack or african americanwhite_,210,0.2537313432835821
130,490,filledblack or african americanwhite_,310,0.2653061224489796
185,635,filledblack or african americanwhite_,410,0.29133858267716534
247,773,filledblack or african americanwhite_,510,0.31953428201811124
303,917,filledblack or african americanwhite_,610,0.33042529989094876
364,1056,filledblack or african americanwhite_,710,0.3446969696969697
427,1193,filledblack or african americanwhite_,810,0.35792120704107294
481,1339,filledblack or african americanwhite_,910,0.3592233009708738
548,1472,filledblack or african americanwhite_,1010,0.37228260869565216
609,1611,filledblack or african americanwhite_,1110,0.3780260707635009
674,1746,filledblack or african americanwhite_,1210,0.38602520045819017
741,1879,filledblack or african americanwhite_,1310,0.3943587014369345
812,2008,filledblack or african americanwhite_,1410,0.4043824701195219
886,2134,filledblack or african americanwhite_,1510,0.41518275538894095
951,2269,filledblack or african americanwhite_,1610,0.4191273688849714
1025,2395,filledblack or african americanwhite_,1710,0.4279749478079332
1096,2524,filledblack or african americanwhite_,1810,0.43423137876386686
1144,2676,filledblack or african americanwhite_,1910,0.42750373692077726
1220,2800,filledblack or african americanwhite_,2010,0.4357142857142857
1297,2923,filledblack or african americanwhite_,2110,0.4437222032158741
1375,3045,filledblack or african americanwhite_,2210,0.451559934318555
1440,3180,filledblack or african americanwhite_,2310,0.4528301886792453
1505,3315,filledblack or african americanwhite_,2410,0.4539969834087481
1599,3421,filledblack or african americanwhite_,2510,0.4674071908798597
1672,3548,filledblack or african americanwhite_,2610,0.47125140924464487
1740,3680,filledblack or african americanwhite_,2710,0.47282608695652173
1817,3803,filledblack or african americanwhite_,2810,0.4777806994478044
1897,3923,filledblack or african americanwhite_,2910,0.4835585011470813
1977,4043,filledblack or african americanwhite_,3010,0.48899332179074945
2072,4148,filledblack or african americanwhite_,3110,0.49951783992285437
2149,4271,filledblack or african americanwhite_,3210,0.503160852259424
2233,4387,filledblack or african americanwhite_,3310,0.5090038750854798
2332,4488,filledblack or african americanwhite_,3410,0.5196078431372549
2433,4587,filledblack or african americanwhite_,3510,0.5304120340091563
2536,4684,filledblack or african americanwhite_,3610,0.5414175918018788
2646,4774,filledblack or african americanwhite_,3710,0.5542521994134897
2762,4858,filledblack or african americanwhite_,3810,0.568546727048168
2883,4937,filledblack or african americanwhite_,3910,0.5839578691513064
3007,5013,filledblack or african americanwhite_,4010,0.5998404149212049
3127,5093,filledblack or african americanwhite_,4110,0.61397997251129
3259,5161,filledblack or african americanwhite_,4210,0.6314667700058129
3385,5235,filledblack or african americanwhite_,4310,0.6466093600764088
3528,5292,filledblack or african americanwhite_,4410,0.6666666666666666
3663,5357,filledblack or african americanwhite_,4510,0.6837782340862423
3818,5402,filledblack or african americanwhite_,4610,0.706775268419104
3983,5437,filledblack or african americanwhite_,4710,0.7325731101710502
4145,5475,filledblack or african americanwhite_,4810,0.7570776255707763
4316,5504,filledblack or african americanwhite_,4910,0.784156976744186
