size intersection,size union,state,k,mean JI
0,20,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,10,0.05882352941176471
33,187,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,110,0.26872386005711785
74,346,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,210,0.30519216594399895
136,484,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,310,0.34454481388942276
185,635,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,410,0.35711404542544356
231,789,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,510,0.3681185949736922
297,923,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,610,0.38719317556746846
345,1075,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,710,0.38541473539328175
406,1214,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,810,0.39406179157746424
474,1346,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,910,0.4079143869652688
532,1488,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1010,0.4106920108281382
587,1633,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1110,0.4112175740912438
648,1772,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1210,0.4201689633466108
716,1904,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1310,0.42539784004599374
775,2045,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1410,0.4368107832823907
844,2176,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1510,0.4428652408854985
896,2324,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1610,0.44581522217659125
966,2454,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1710,0.44900217132605685
1032,2588,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1810,0.4503260688651316
1096,2724,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1910,0.45556171224414693
1158,2862,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2010,0.4575462103275793
1213,3007,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2110,0.4590568009927624
1265,3155,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2210,0.45941263915139235
1337,3283,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2310,0.46270252919372235
1413,3407,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2410,0.4676391815297618
1479,3541,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2510,0.46898360942178824
1545,3675,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2610,0.47278390795503406
1621,3799,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2710,0.4804378884228389
1700,3920,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2810,0.48818460631758115
1782,4038,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2910,0.4938268109440765
1869,4151,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3010,0.49916300441240685
1947,4273,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3110,0.5042011574928787
2028,4392,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3210,0.5089312697857722
2117,4503,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3310,0.5139758112582452
2195,4625,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3410,0.5195615813179938
2284,4736,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3510,0.5275406227831346
2376,4844,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3610,0.5363237141914435
2483,4937,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3710,0.5480568634841068
2584,5036,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3810,0.5563858569969363
2710,5110,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3910,0.5703517419875695
2828,5192,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4010,0.5830445893849489
2953,5267,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4110,0.5952782483464814
3076,5344,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4210,0.6117152348964875
3209,5411,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4310,0.628619795841908
3343,5477,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4410,0.6470810750228843
3486,5534,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4510,0.6655564278087792
3621,5599,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4610,0.6836387657483826
3770,5650,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4710,0.7060800490165109
3930,5690,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4810,0.7294575105700902
4095,5725,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4910,0.7542789237470965
