size intersection,size union,state,k,mean JI
2,18,filledlowerupper_,10,0.1111111111111111
46,174,filledlowerupper_,110,0.26436781609195403
94,326,filledlowerupper_,210,0.2883435582822086
162,458,filledlowerupper_,310,0.3537117903930131
220,600,filledlowerupper_,410,0.36666666666666664
280,740,filledlowerupper_,510,0.3783783783783784
334,886,filledlowerupper_,610,0.37697516930022573
399,1021,filledlowerupper_,710,0.3907933398628795
461,1159,filledlowerupper_,810,0.39775668679896464
528,1292,filledlowerupper_,910,0.4086687306501548
599,1421,filledlowerupper_,1010,0.4215341308937368
663,1557,filledlowerupper_,1110,0.4258188824662813
718,1702,filledlowerupper_,1210,0.4218566392479436
792,1828,filledlowerupper_,1310,0.43326039387308535
852,1968,filledlowerupper_,1410,0.4329268292682927
929,2091,filledlowerupper_,1510,0.44428503108560496
1007,2213,filledlowerupper_,1610,0.45503840939900586
1071,2349,filledlowerupper_,1710,0.4559386973180077
1134,2486,filledlowerupper_,1810,0.4561544650040225
1195,2625,filledlowerupper_,1910,0.4552380952380952
1254,2766,filledlowerupper_,2010,0.45336225596529284
1329,2891,filledlowerupper_,2110,0.4597025250778277
1405,3015,filledlowerupper_,2210,0.4660033167495854
1489,3131,filledlowerupper_,2310,0.4755669115298627
1562,3258,filledlowerupper_,2410,0.4794352363413137
1623,3397,filledlowerupper_,2510,0.4777745069178687
1705,3515,filledlowerupper_,2610,0.4850640113798009
1771,3649,filledlowerupper_,2710,0.48533844889010685
1854,3766,filledlowerupper_,2810,0.492299522039299
1921,3899,filledlowerupper_,2910,0.49269043344447294
1998,4022,filledlowerupper_,3010,0.49676777722526105
2079,4141,filledlowerupper_,3110,0.5020526442888191
2159,4261,filledlowerupper_,3210,0.506688570758038
2258,4362,filledlowerupper_,3310,0.5176524530032095
2356,4464,filledlowerupper_,3410,0.5277777777777778
2452,4568,filledlowerupper_,3510,0.5367775831873906
2560,4660,filledlowerupper_,3610,0.5493562231759657
2676,4744,filledlowerupper_,3710,0.5640809443507588
2779,4841,filledlowerupper_,3810,0.5740549473249329
2890,4930,filledlowerupper_,3910,0.5862068965517241
3003,5017,filledlowerupper_,4010,0.598564879410006
3121,5099,filledlowerupper_,4110,0.6120808001568935
3250,5170,filledlowerupper_,4210,0.6286266924564797
3386,5234,filledlowerupper_,4310,0.6469239587313718
3533,5287,filledlowerupper_,4410,0.6682428598449026
3688,5332,filledlowerupper_,4510,0.6916729182295573
3842,5378,filledlowerupper_,4610,0.7143919672740796
4005,5415,filledlowerupper_,4710,0.739612188365651
4164,5456,filledlowerupper_,4810,0.7631964809384164
4333,5487,filledlowerupper_,4910,0.7896847093129215
