size intersection,size union,state,k,mean JI
3,17,filledfemalemale_,10,0.17647058823529413
58,162,filledfemalemale_,110,0.35802469135802467
125,295,filledfemalemale_,210,0.423728813559322
194,426,filledfemalemale_,310,0.45539906103286387
268,552,filledfemalemale_,410,0.4855072463768116
341,679,filledfemalemale_,510,0.5022091310751104
420,800,filledfemalemale_,610,0.525
489,931,filledfemalemale_,710,0.5252416756176155
565,1055,filledfemalemale_,810,0.5355450236966824
637,1183,filledfemalemale_,910,0.5384615384615384
710,1310,filledfemalemale_,1010,0.5419847328244275
787,1433,filledfemalemale_,1110,0.5491974877878576
864,1556,filledfemalemale_,1210,0.5552699228791774
935,1685,filledfemalemale_,1310,0.5548961424332344
1020,1800,filledfemalemale_,1410,0.5666666666666667
1088,1932,filledfemalemale_,1510,0.5631469979296067
1175,2045,filledfemalemale_,1610,0.5745721271393643
1252,2168,filledfemalemale_,1710,0.577490774907749
1325,2295,filledfemalemale_,1810,0.5773420479302832
1385,2435,filledfemalemale_,1910,0.5687885010266941
1469,2551,filledfemalemale_,2010,0.5758526068208546
1557,2663,filledfemalemale_,2110,0.5846789335336087
1635,2785,filledfemalemale_,2210,0.5870736086175943
1700,2920,filledfemalemale_,2310,0.5821917808219178
1766,3054,filledfemalemale_,2410,0.5782580222658809
1844,3176,filledfemalemale_,2510,0.5806045340050378
1915,3305,filledfemalemale_,2610,0.5794251134644478
1989,3431,filledfemalemale_,2710,0.579714368988633
2081,3539,filledfemalemale_,2810,0.5880192144673637
2150,3670,filledfemalemale_,2910,0.5858310626702997
2231,3789,filledfemalemale_,3010,0.5888097123251518
2322,3898,filledfemalemale_,3110,0.5956900974858902
2409,4011,filledfemalemale_,3210,0.600598354525056
2488,4132,filledfemalemale_,3310,0.6021297192642788
2559,4261,filledfemalemale_,3410,0.6005632480638348
2651,4369,filledfemalemale_,3510,0.6067750057221332
2749,4471,filledfemalemale_,3610,0.6148512636993961
2847,4573,filledfemalemale_,3710,0.6225672425103871
2937,4683,filledfemalemale_,3810,0.6271620755925689
3037,4783,filledfemalemale_,3910,0.6349571398703743
3146,4874,filledfemalemale_,4010,0.6454657365613459
3253,4967,filledfemalemale_,4110,0.6549224884235957
3366,5054,filledfemalemale_,4210,0.666007123070835
3489,5131,filledfemalemale_,4310,0.679984408497369
3619,5201,filledfemalemale_,4410,0.6958277254374159
3757,5263,filledfemalemale_,4510,0.7138514155424662
3903,5317,filledfemalemale_,4610,0.7340605604664284
4060,5360,filledfemalemale_,4710,0.7574626865671642
4221,5399,filledfemalemale_,4810,0.7818114465641786
4394,5426,filledfemalemale_,4910,0.8098046443051972
