size intersection,size union,state,k,mean JI
0,20,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,10,0.037037037037037035
0,220,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,110,0.03333333333333333
1,419,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,210,0.04482070218099398
2,618,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,310,0.05768252223646984
5,815,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,410,0.061431962955127754
6,1014,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,510,0.06602672089998413
7,1213,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,610,0.0728779825371545
7,1413,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,710,0.07661308954893563
9,1611,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,810,0.08166295787292523
9,1811,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,910,0.08323401209182789
11,2009,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1010,0.08398779269909555
11,2209,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1110,0.08538504517770597
12,2408,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1210,0.08704602841828973
12,2608,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1310,0.08906512756798758
12,2808,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1410,0.09124071409304978
14,3006,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1510,0.0916752684670895
15,3205,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1610,0.09469311625210085
16,3404,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1710,0.09629812711061458
17,3603,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1810,0.09794025254928888
18,3802,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1910,0.09789370421560135
20,4000,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2010,0.10023660562469013
21,4199,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2110,0.10193676651464162
21,4399,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2210,0.10416936022968105
23,4597,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2310,0.10526445640553178
24,4796,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2410,0.10587014797894441
24,4996,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2510,0.10701462854223785
24,5196,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2610,0.10763529887393253
24,5396,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2710,0.1079638416621111
26,5594,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2810,0.10903127879629824
26,5794,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2910,0.10940993704180157
30,5990,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3010,0.11087401056925524
32,6188,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3110,0.11078080787246047
35,6385,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3210,0.11210196131208656
38,6582,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3310,0.11322368828500727
40,6780,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3410,0.1149277800279908
41,6979,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3510,0.11543859830480084
44,7176,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3610,0.11562947536048797
47,7373,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3710,0.11596654502112297
48,7572,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3810,0.11612137355931623
51,7769,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3910,0.116072427652136
59,7961,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4010,0.11649734062996363
60,8160,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4110,0.1177045036688018
62,8358,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4210,0.11785812471598371
64,8556,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4310,0.11797735368378076
70,8750,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4410,0.11845635966227218
76,8944,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4510,0.11914953377062476
83,9137,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4610,0.12024341221883816
87,9333,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4710,0.1208860761480064
91,9529,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4810,0.12160077671713714
96,9724,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4910,0.12212782257872541
