size intersection,size union,state,k,mean JI
0,20,filledblack or african americanwhite_,10,0.0
2,218,filledblack or african americanwhite_,110,0.009174311926605505
7,413,filledblack or african americanwhite_,210,0.01694915254237288
13,607,filledblack or african americanwhite_,310,0.0214168039538715
19,801,filledblack or african americanwhite_,410,0.02372034956304619
48,972,filledblack or african americanwhite_,510,0.04938271604938271
89,1131,filledblack or african americanwhite_,610,0.07869142351900972
143,1277,filledblack or african americanwhite_,710,0.11198120595144871
198,1422,filledblack or african americanwhite_,810,0.13924050632911392
242,1578,filledblack or african americanwhite_,910,0.15335868187579213
295,1725,filledblack or african americanwhite_,1010,0.17101449275362318
340,1880,filledblack or african americanwhite_,1110,0.18085106382978725
397,2023,filledblack or african americanwhite_,1210,0.1962432031636184
447,2173,filledblack or african americanwhite_,1310,0.20570639668660837
493,2327,filledblack or african americanwhite_,1410,0.21186076493339062
540,2480,filledblack or african americanwhite_,1510,0.21774193548387097
603,2617,filledblack or african americanwhite_,1610,0.2304165074512801
645,2775,filledblack or african americanwhite_,1710,0.23243243243243245
703,2917,filledblack or african americanwhite_,1810,0.241001028453891
744,3076,filledblack or african americanwhite_,1910,0.24187256176853056
793,3227,filledblack or african americanwhite_,2010,0.2457390765416796
844,3376,filledblack or african americanwhite_,2110,0.25
894,3526,filledblack or african americanwhite_,2210,0.2535450935904708
951,3669,filledblack or african americanwhite_,2310,0.25919869174161897
993,3827,filledblack or african americanwhite_,2410,0.25947217141363993
1033,3987,filledblack or african americanwhite_,2510,0.25909204915976924
1082,4138,filledblack or african americanwhite_,2610,0.2614789753504108
1129,4291,filledblack or african americanwhite_,2710,0.26310883243999067
1181,4439,filledblack or african americanwhite_,2810,0.2660509123676504
1231,4589,filledblack or african americanwhite_,2910,0.2682501634342994
1290,4730,filledblack or african americanwhite_,3010,0.2727272727272727
1348,4872,filledblack or african americanwhite_,3110,0.2766830870279146
1392,5028,filledblack or african americanwhite_,3210,0.27684964200477324
1439,5181,filledblack or african americanwhite_,3310,0.2777456089558
1492,5328,filledblack or african americanwhite_,3410,0.28003003003003
1544,5476,filledblack or african americanwhite_,3510,0.28195763330898466
1605,5615,filledblack or african americanwhite_,3610,0.2858414959928762
1646,5774,filledblack or african americanwhite_,3710,0.2850710079667475
1700,5920,filledblack or african americanwhite_,3810,0.28716216216216217
1748,6072,filledblack or african americanwhite_,3910,0.2878787878787879
1799,6221,filledblack or african americanwhite_,4010,0.2891818035685581
1849,6371,filledblack or african americanwhite_,4110,0.29022131533511225
1913,6507,filledblack or african americanwhite_,4210,0.29399108652220685
1973,6647,filledblack or african americanwhite_,4310,0.296825635625094
2028,6792,filledblack or african americanwhite_,4410,0.29858657243816256
2078,6942,filledblack or african americanwhite_,4510,0.2993373667530971
2130,7090,filledblack or african americanwhite_,4610,0.3004231311706629
2187,7233,filledblack or african americanwhite_,4710,0.3023641642472003
2247,7373,filledblack or african americanwhite_,4810,0.30476061304760615
2310,7510,filledblack or african americanwhite_,4910,0.30758988015978694
