size intersection,size union,state,k,mean JI
0,20,filledfemalemale_,10,0.0
10,210,filledfemalemale_,110,0.047619047619047616
27,393,filledfemalemale_,210,0.06870229007633588
48,572,filledfemalemale_,310,0.08391608391608392
85,735,filledfemalemale_,410,0.11564625850340136
126,894,filledfemalemale_,510,0.14093959731543623
179,1041,filledfemalemale_,610,0.17195004803073968
228,1192,filledfemalemale_,710,0.1912751677852349
283,1337,filledfemalemale_,810,0.21166791323859388
325,1495,filledfemalemale_,910,0.21739130434782608
374,1646,filledfemalemale_,1010,0.22721749696233293
432,1788,filledfemalemale_,1110,0.24161073825503357
484,1936,filledfemalemale_,1210,0.25
537,2083,filledfemalemale_,1310,0.25780124819971195
601,2219,filledfemalemale_,1410,0.2708427219468229
670,2350,filledfemalemale_,1510,0.2851063829787234
724,2496,filledfemalemale_,1610,0.2900641025641026
768,2652,filledfemalemale_,1710,0.2895927601809955
809,2811,filledfemalemale_,1810,0.28779793667733905
869,2951,filledfemalemale_,1910,0.2944764486614707
919,3101,filledfemalemale_,2010,0.2963560141889713
977,3243,filledfemalemale_,2110,0.30126426148627816
1028,3392,filledfemalemale_,2210,0.30306603773584906
1082,3538,filledfemalemale_,2310,0.3058224985867722
1135,3685,filledfemalemale_,2410,0.30800542740841247
1191,3829,filledfemalemale_,2510,0.3110472708278924
1255,3965,filledfemalemale_,2610,0.31651954602774274
1300,4120,filledfemalemale_,2710,0.3155339805825243
1352,4268,filledfemalemale_,2810,0.316776007497657
1416,4404,filledfemalemale_,2910,0.3215258855585831
1472,4548,filledfemalemale_,3010,0.32365875109938436
1522,4698,filledfemalemale_,3110,0.32396764580672627
1580,4840,filledfemalemale_,3210,0.32644628099173556
1640,4980,filledfemalemale_,3310,0.3293172690763052
1695,5125,filledfemalemale_,3410,0.3307317073170732
1750,5270,filledfemalemale_,3510,0.33206831119544594
1807,5413,filledfemalemale_,3610,0.3338259745058193
1862,5558,filledfemalemale_,3710,0.3350125944584383
1926,5694,filledfemalemale_,3810,0.3382507903055848
1984,5836,filledfemalemale_,3910,0.3399588759424263
2047,5973,filledfemalemale_,4010,0.34270885652101124
2102,6118,filledfemalemale_,4110,0.3435763321346845
2162,6258,filledfemalemale_,4210,0.34547778843080856
2225,6395,filledfemalemale_,4310,0.34792806880375293
2272,6548,filledfemalemale_,4410,0.34697617593158214
2335,6685,filledfemalemale_,4510,0.3492894540014959
2385,6835,filledfemalemale_,4610,0.34893928310168254
2437,6983,filledfemalemale_,4710,0.3489904052699413
2486,7134,filledfemalemale_,4810,0.3484721054107093
2547,7273,filledfemalemale_,4910,0.3501993675237179
