size intersection,size union,state,k,mean JI
0,20,filledlowerupper_,10,0.0
4,216,filledlowerupper_,110,0.018518518518518517
8,412,filledlowerupper_,210,0.019417475728155338
16,604,filledlowerupper_,310,0.026490066225165563
23,797,filledlowerupper_,410,0.028858218318695106
35,985,filledlowerupper_,510,0.03553299492385787
50,1170,filledlowerupper_,610,0.042735042735042736
75,1345,filledlowerupper_,710,0.055762081784386616
103,1517,filledlowerupper_,810,0.06789716545814106
125,1695,filledlowerupper_,910,0.07374631268436578
151,1869,filledlowerupper_,1010,0.08079186730872125
185,2035,filledlowerupper_,1110,0.09090909090909091
223,2197,filledlowerupper_,1210,0.10150204824761037
262,2358,filledlowerupper_,1310,0.1111111111111111
298,2522,filledlowerupper_,1410,0.11816019032513878
330,2690,filledlowerupper_,1510,0.12267657992565056
362,2858,filledlowerupper_,1610,0.12666200139958012
398,3022,filledlowerupper_,1710,0.1317008603573792
433,3187,filledlowerupper_,1810,0.13586444932538438
469,3351,filledlowerupper_,1910,0.13995822142643988
503,3517,filledlowerupper_,2010,0.14301961899346033
551,3669,filledlowerupper_,2110,0.15017715998909784
589,3831,filledlowerupper_,2210,0.15374575828765336
640,3980,filledlowerupper_,2310,0.16080402010050251
678,4142,filledlowerupper_,2410,0.1636890391115403
720,4300,filledlowerupper_,2510,0.16744186046511628
766,4454,filledlowerupper_,2610,0.17198024247867086
811,4609,filledlowerupper_,2710,0.17596007810804948
841,4779,filledlowerupper_,2810,0.17597823812513078
890,4930,filledlowerupper_,2910,0.18052738336713997
917,5103,filledlowerupper_,3010,0.17969821673525377
963,5257,filledlowerupper_,3110,0.18318432566102338
1000,5420,filledlowerupper_,3210,0.18450184501845018
1045,5575,filledlowerupper_,3310,0.18744394618834082
1075,5745,filledlowerupper_,3410,0.18711923411662315
1119,5901,filledlowerupper_,3510,0.18962887646161666
1158,6062,filledlowerupper_,3610,0.19102606400527877
1211,6209,filledlowerupper_,3710,0.19503945885005636
1240,6380,filledlowerupper_,3810,0.19435736677115986
1274,6546,filledlowerupper_,3910,0.1946226703330278
1316,6704,filledlowerupper_,4010,0.19630071599045346
1352,6868,filledlowerupper_,4110,0.19685497961560863
1388,7032,filledlowerupper_,4210,0.19738339021615472
1436,7184,filledlowerupper_,4310,0.19988864142538976
1480,7340,filledlowerupper_,4410,0.2016348773841962
1526,7494,filledlowerupper_,4510,0.203629570322925
1571,7649,filledlowerupper_,4610,0.2053863250098052
1603,7817,filledlowerupper_,4710,0.20506588205193807
1659,7961,filledlowerupper_,4810,0.20839090566511745
1709,8111,filledlowerupper_,4910,0.21070151645912957
