size intersection,size union,state,k,mean JI
3,17,filledlowerupper_,10,0.17647058823529413
8,212,filledlowerupper_,110,0.03773584905660377
16,404,filledlowerupper_,210,0.039603960396039604
28,592,filledlowerupper_,310,0.0472972972972973
36,784,filledlowerupper_,410,0.04591836734693878
54,966,filledlowerupper_,510,0.055900621118012424
73,1147,filledlowerupper_,610,0.06364428945074106
87,1333,filledlowerupper_,710,0.06526631657914479
106,1514,filledlowerupper_,810,0.07001321003963012
133,1687,filledlowerupper_,910,0.07883817427385892
152,1868,filledlowerupper_,1010,0.08137044967880086
171,2049,filledlowerupper_,1110,0.08345534407027819
192,2228,filledlowerupper_,1210,0.08617594254937164
215,2405,filledlowerupper_,1310,0.0893970893970894
242,2578,filledlowerupper_,1410,0.09387121799844841
273,2747,filledlowerupper_,1510,0.09938114306516199
305,2915,filledlowerupper_,1610,0.10463121783876501
330,3090,filledlowerupper_,1710,0.10679611650485436
363,3257,filledlowerupper_,1810,0.11145225667792447
398,3422,filledlowerupper_,1910,0.1163062536528346
429,3591,filledlowerupper_,2010,0.11946532999164577
469,3751,filledlowerupper_,2110,0.12503332444681417
496,3924,filledlowerupper_,2210,0.12640163098878696
535,4085,filledlowerupper_,2310,0.13096695226438188
566,4254,filledlowerupper_,2410,0.13305124588622472
615,4405,filledlowerupper_,2510,0.13961407491486946
657,4563,filledlowerupper_,2610,0.14398422090729784
701,4719,filledlowerupper_,2710,0.148548421275694
735,4885,filledlowerupper_,2810,0.150460593654043
783,5037,filledlowerupper_,2910,0.15544967242406194
829,5191,filledlowerupper_,3010,0.15969947986900404
865,5355,filledlowerupper_,3110,0.161531279178338
915,5505,filledlowerupper_,3210,0.16621253405994552
961,5659,filledlowerupper_,3310,0.1698179890440007
1009,5811,filledlowerupper_,3410,0.17363620719325418
1055,5965,filledlowerupper_,3510,0.1768650461022632
1103,6117,filledlowerupper_,3610,0.18031714892921366
1160,6260,filledlowerupper_,3710,0.1853035143769968
1198,6422,filledlowerupper_,3810,0.18654624727499222
1246,6574,filledlowerupper_,3910,0.18953452996653483
1290,6730,filledlowerupper_,4010,0.19167904903417535
1348,6872,filledlowerupper_,4110,0.19615832363213037
1396,7024,filledlowerupper_,4210,0.19874715261958997
1462,7158,filledlowerupper_,4310,0.20424699636770047
1529,7291,filledlowerupper_,4410,0.2097106021121931
1582,7438,filledlowerupper_,4510,0.21269158375907501
1633,7587,filledlowerupper_,4610,0.21523658890206934
1678,7742,filledlowerupper_,4710,0.21673986050116248
1732,7888,filledlowerupper_,4810,0.21957403651115617
1779,8041,filledlowerupper_,4910,0.2212411391617958
