size intersection,size union,state,k,mean JI
0,20,filledblack or african americanwhite_,10,0.0
8,212,filledblack or african americanwhite_,110,0.03773584905660377
27,393,filledblack or african americanwhite_,210,0.06870229007633588
45,575,filledblack or african americanwhite_,310,0.0782608695652174
59,761,filledblack or african americanwhite_,410,0.07752956636005257
72,948,filledblack or african americanwhite_,510,0.0759493670886076
91,1129,filledblack or african americanwhite_,610,0.08060230292294066
109,1311,filledblack or african americanwhite_,710,0.08314263920671243
120,1500,filledblack or african americanwhite_,810,0.08
145,1675,filledblack or african americanwhite_,910,0.08656716417910448
164,1856,filledblack or african americanwhite_,1010,0.08836206896551724
179,2041,filledblack or african americanwhite_,1110,0.08770210681038706
203,2217,filledblack or african americanwhite_,1210,0.09156517816869644
234,2386,filledblack or african americanwhite_,1310,0.0980720871751886
256,2564,filledblack or african americanwhite_,1410,0.0998439937597504
281,2739,filledblack or african americanwhite_,1510,0.10259218692953632
309,2911,filledblack or african americanwhite_,1610,0.10614908965991068
330,3090,filledblack or african americanwhite_,1710,0.10679611650485436
359,3261,filledblack or african americanwhite_,1810,0.11008892977614229
381,3439,filledblack or african americanwhite_,1910,0.11078801977318987
401,3619,filledblack or african americanwhite_,2010,0.11080408952749378
429,3791,filledblack or african americanwhite_,2110,0.11316275389079399
461,3959,filledblack or african americanwhite_,2210,0.11644354635008841
491,4129,filledblack or african americanwhite_,2310,0.11891499152337127
526,4294,filledblack or african americanwhite_,2410,0.1224965067536097
556,4464,filledblack or african americanwhite_,2510,0.12455197132616487
589,4631,filledblack or african americanwhite_,2610,0.12718635283955948
627,4793,filledblack or african americanwhite_,2710,0.13081577300229502
652,4968,filledblack or african americanwhite_,2810,0.13123993558776167
683,5137,filledblack or african americanwhite_,2910,0.13295697878138993
710,5310,filledblack or african americanwhite_,3010,0.1337099811676083
741,5479,filledblack or african americanwhite_,3110,0.13524365760175214
779,5641,filledblack or african americanwhite_,3210,0.13809608225491934
806,5814,filledblack or african americanwhite_,3310,0.13863089095287237
834,5986,filledblack or african americanwhite_,3410,0.1393250918810558
859,6161,filledblack or african americanwhite_,3510,0.13942541795163124
886,6334,filledblack or african americanwhite_,3610,0.13988001263024943
921,6499,filledblack or african americanwhite_,3710,0.14171410986305585
959,6661,filledblack or african americanwhite_,3810,0.14397237652004202
994,6826,filledblack or african americanwhite_,3910,0.14561968942279518
1023,6997,filledblack or african americanwhite_,4010,0.14620551664999284
1054,7166,filledblack or african americanwhite_,4110,0.14708344962322076
1083,7337,filledblack or african americanwhite_,4210,0.14760801417473082
1117,7503,filledblack or african americanwhite_,4310,0.1488737838198054
1150,7670,filledblack or african americanwhite_,4410,0.14993481095176012
1180,7840,filledblack or african americanwhite_,4510,0.15051020408163265
1220,8000,filledblack or african americanwhite_,4610,0.1525
1255,8165,filledblack or african americanwhite_,4710,0.15370483772198407
1292,8328,filledblack or african americanwhite_,4810,0.15513928914505284
1320,8500,filledblack or african americanwhite_,4910,0.15529411764705883
