size intersection,size union,state,k,mean JI
5,15,filledfemalemale_,10,0.3333333333333333
25,195,filledfemalemale_,110,0.1282051282051282
57,363,filledfemalemale_,210,0.15702479338842976
95,525,filledfemalemale_,310,0.18095238095238095
121,699,filledfemalemale_,410,0.17310443490701002
153,867,filledfemalemale_,510,0.17647058823529413
192,1028,filledfemalemale_,610,0.1867704280155642
245,1175,filledfemalemale_,710,0.20851063829787234
298,1322,filledfemalemale_,810,0.2254160363086233
352,1468,filledfemalemale_,910,0.23978201634877383
407,1613,filledfemalemale_,1010,0.2523248605083695
468,1752,filledfemalemale_,1110,0.2671232876712329
527,1893,filledfemalemale_,1210,0.27839408346539884
582,2038,filledfemalemale_,1310,0.2855740922473013
648,2172,filledfemalemale_,1410,0.2983425414364641
701,2319,filledfemalemale_,1510,0.30228546787408367
755,2465,filledfemalemale_,1610,0.30628803245436104
813,2607,filledfemalemale_,1710,0.31185270425776757
878,2742,filledfemalemale_,1810,0.3202042304886944
939,2881,filledfemalemale_,1910,0.32592849704963556
993,3027,filledfemalemale_,2010,0.3280475718533201
1051,3169,filledfemalemale_,2110,0.33165036289050176
1098,3322,filledfemalemale_,2210,0.3305237808549067
1157,3463,filledfemalemale_,2310,0.3341033785734912
1227,3593,filledfemalemale_,2410,0.3414973559699416
1296,3724,filledfemalemale_,2510,0.34801288936627284
1356,3864,filledfemalemale_,2610,0.35093167701863354
1407,4013,filledfemalemale_,2710,0.3506105158235734
1467,4153,filledfemalemale_,2810,0.35323862268239825
1534,4286,filledfemalemale_,2910,0.3579094727018199
1591,4429,filledfemalemale_,3010,0.3592233009708738
1654,4566,filledfemalemale_,3110,0.3622426631625055
1714,4706,filledfemalemale_,3210,0.3642158946026349
1794,4826,filledfemalemale_,3310,0.37173642768338166
1847,4973,filledfemalemale_,3410,0.37140559018700986
1919,5101,filledfemalemale_,3510,0.3762007449519702
1988,5232,filledfemalemale_,3610,0.37996941896024466
2050,5370,filledfemalemale_,3710,0.3817504655493482
2119,5501,filledfemalemale_,3810,0.38520269041992367
2182,5638,filledfemalemale_,3910,0.3870166725789287
2236,5784,filledfemalemale_,4010,0.38658367911479946
2312,5908,filledfemalemale_,4110,0.3913337846987136
2390,6030,filledfemalemale_,4210,0.3963515754560531
2443,6177,filledfemalemale_,4310,0.3954994333819006
2511,6309,filledfemalemale_,4410,0.3980028530670471
2577,6443,filledfemalemale_,4510,0.3999689585596772
2642,6578,filledfemalemale_,4610,0.4016418364244451
2704,6716,filledfemalemale_,4710,0.40262060750446693
2766,6854,filledfemalemale_,4810,0.40355996498395097
2833,6987,filledfemalemale_,4910,0.40546729640761414
