size intersection,size union,state,k,mean JI
2,18,filledlowerupper_,10,0.1111111111111111
32,188,filledlowerupper_,110,0.1702127659574468
77,343,filledlowerupper_,210,0.22448979591836735
113,507,filledlowerupper_,310,0.22287968441814596
163,657,filledlowerupper_,410,0.2480974124809741
216,804,filledlowerupper_,510,0.26865671641791045
261,959,filledlowerupper_,610,0.2721584984358707
310,1110,filledlowerupper_,710,0.27927927927927926
354,1266,filledlowerupper_,810,0.2796208530805687
405,1415,filledlowerupper_,910,0.2862190812720848
470,1550,filledlowerupper_,1010,0.3032258064516129
519,1701,filledlowerupper_,1110,0.30511463844797176
575,1845,filledlowerupper_,1210,0.3116531165311653
625,1995,filledlowerupper_,1310,0.3132832080200501
687,2133,filledlowerupper_,1410,0.32208157524613223
742,2278,filledlowerupper_,1510,0.3257243195785777
811,2409,filledlowerupper_,1610,0.3366542133665421
868,2552,filledlowerupper_,1710,0.3401253918495298
930,2690,filledlowerupper_,1810,0.34572490706319703
985,2835,filledlowerupper_,1910,0.3474426807760141
1043,2977,filledlowerupper_,2010,0.3503527040644945
1103,3117,filledlowerupper_,2110,0.3538658966955406
1163,3257,filledlowerupper_,2210,0.3570770647835431
1218,3402,filledlowerupper_,2310,0.35802469135802467
1280,3540,filledlowerupper_,2410,0.3615819209039548
1344,3676,filledlowerupper_,2510,0.36561479869423286
1410,3810,filledlowerupper_,2610,0.3700787401574803
1472,3948,filledlowerupper_,2710,0.3728470111448835
1519,4101,filledlowerupper_,2810,0.37039746403316265
1574,4246,filledlowerupper_,2910,0.37070183702308057
1636,4384,filledlowerupper_,3010,0.3731751824817518
1701,4519,filledlowerupper_,3110,0.37641071033414475
1765,4655,filledlowerupper_,3210,0.3791621911922664
1819,4801,filledlowerupper_,3310,0.37887940012497395
1884,4936,filledlowerupper_,3410,0.38168557536466774
1941,5079,filledlowerupper_,3510,0.3821618428824572
2004,5216,filledlowerupper_,3610,0.38420245398773006
2063,5357,filledlowerupper_,3710,0.38510360276274036
2123,5497,filledlowerupper_,3810,0.38621066036019647
2193,5627,filledlowerupper_,3910,0.38972809667673713
2255,5765,filledlowerupper_,4010,0.391153512575889
2320,5900,filledlowerupper_,4110,0.39322033898305087
2388,6032,filledlowerupper_,4210,0.3958885941644562
2447,6173,filledlowerupper_,4310,0.3964036935039689
2518,6302,filledlowerupper_,4410,0.3995556966042526
2576,6444,filledlowerupper_,4510,0.39975170701427687
2650,6570,filledlowerupper_,4610,0.4033485540334855
2708,6712,filledlowerupper_,4710,0.4034564958283671
2762,6858,filledlowerupper_,4810,0.4027413240011665
2819,7001,filledlowerupper_,4910,0.40265676331952577
