size intersection,size union,state,k,mean JI
4,16,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,10,0.32164404223227755
49,171,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,110,0.2530540593349549
82,338,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,210,0.23903111540474178
131,489,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,310,0.255835985059369
188,632,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,410,0.27370409597012624
234,786,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,510,0.2728766224055026
278,942,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,610,0.27576459738634734
322,1098,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,710,0.2864329416274269
370,1250,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,810,0.2883700280543242
428,1392,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,910,0.2956839201068446
474,1546,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1010,0.2984900197150887
521,1699,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1110,0.30520939758285437
584,1836,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1210,0.3105759626554492
628,1992,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1310,0.31267993342670825
680,2140,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1410,0.3169648186649509
736,2284,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1510,0.3227845133485559
791,2429,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1610,0.32478650158225114
853,2567,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1710,0.33343046569110274
904,2716,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1810,0.3331663832957479
953,2867,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1910,0.336670755391878
1003,3017,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2010,0.3402787503195795
1045,3175,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2110,0.3405339551934436
1092,3328,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2210,0.3415641627938304
1144,3476,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2310,0.3445381009608301
1191,3629,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2410,0.3443586602531333
1241,3779,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2510,0.3458295688998529
1294,3926,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2610,0.34616388374739665
1346,4074,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2710,0.34849321334551586
1395,4225,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2810,0.3485669442105103
1436,4384,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2910,0.34822981205727066
1491,4529,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3010,0.34952345778825666
1546,4674,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3110,0.35265921068416756
1612,4808,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3210,0.3554313857489604
1663,4957,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3310,0.35776890992193916
1729,5091,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3410,0.3612515025388008
1776,5244,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3510,0.36138323108379145
1828,5392,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3610,0.36328682660323314
1887,5533,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3710,0.3647708251341924
1951,5669,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3810,0.36781704143895394
2016,5804,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3910,0.370627037027246
2065,5955,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4010,0.3702892870643484
2116,6104,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4110,0.37153459710137593
2170,6250,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4210,0.3728805859863569
2222,6398,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4310,0.37393336624663576
2277,6543,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4410,0.37447855602456787
2328,6692,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4510,0.3750935902439492
2381,6839,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4610,0.37656429483997383
2442,6978,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4710,0.37929397298372985
2494,7126,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4810,0.38008945469711186
2550,7270,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4910,0.3817334951761379
