size intersection,size union,state,k,mean JI
0,20,filledfemalemale_,10,0.0
31,189,filledfemalemale_,110,0.164021164021164
78,342,filledfemalemale_,210,0.22807017543859648
122,498,filledfemalemale_,310,0.24497991967871485
161,659,filledfemalemale_,410,0.24430955993930198
211,809,filledfemalemale_,510,0.26081582200247216
267,953,filledfemalemale_,610,0.2801678908709339
310,1110,filledfemalemale_,710,0.27927927927927926
348,1272,filledfemalemale_,810,0.27358490566037735
394,1426,filledfemalemale_,910,0.2762973352033661
447,1573,filledfemalemale_,1010,0.28417037507946596
490,1730,filledfemalemale_,1110,0.2832369942196532
541,1879,filledfemalemale_,1210,0.28791910590739755
582,2038,filledfemalemale_,1310,0.2855740922473013
626,2194,filledfemalemale_,1410,0.2853236098450319
671,2349,filledfemalemale_,1510,0.28565346956151555
723,2497,filledfemalemale_,1610,0.289547456948338
771,2649,filledfemalemale_,1710,0.29105322763306907
813,2807,filledfemalemale_,1810,0.28963306020662627
857,2963,filledfemalemale_,1910,0.2892338845764428
906,3114,filledfemalemale_,2010,0.2909441233140655
953,3267,filledfemalemale_,2110,0.2917049280685644
993,3427,filledfemalemale_,2210,0.2897578056609279
1041,3579,filledfemalemale_,2310,0.2908633696563286
1087,3733,filledfemalemale_,2410,0.2911867130993839
1128,3892,filledfemalemale_,2510,0.289825282631038
1183,4037,filledfemalemale_,2610,0.2930393856824375
1228,4192,filledfemalemale_,2710,0.2929389312977099
1280,4340,filledfemalemale_,2810,0.29493087557603687
1322,4498,filledfemalemale_,2910,0.29390840373499333
1375,4645,filledfemalemale_,3010,0.2960172228202368
1427,4793,filledfemalemale_,3110,0.29772585019820574
1481,4939,filledfemalemale_,3210,0.2998582709050415
1536,5084,filledfemalemale_,3310,0.3021243115656963
1589,5231,filledfemalemale_,3410,0.303766010323074
1645,5375,filledfemalemale_,3510,0.30604651162790697
1689,5531,filledfemalemale_,3610,0.30536973422527575
1724,5696,filledfemalemale_,3710,0.3026685393258427
1768,5852,filledfemalemale_,3810,0.30211893369788106
1813,6007,filledfemalemale_,3910,0.301814549692026
1857,6163,filledfemalemale_,4010,0.30131429498620804
1902,6318,filledfemalemale_,4110,0.3010446343779677
1943,6477,filledfemalemale_,4210,0.2999845607534352
1982,6638,filledfemalemale_,4310,0.298583910816511
2027,6793,filledfemalemale_,4410,0.2983954070366554
2063,6957,filledfemalemale_,4510,0.2965358631594078
2111,7109,filledfemalemale_,4610,0.2969475312983542
2155,7265,filledfemalemale_,4710,0.29662766689607706
2197,7423,filledfemalemale_,4810,0.29597197898423816
2243,7577,filledfemalemale_,4910,0.29602745149795434
