size intersection,size union,state,k,mean JI
0,20,filledblack or african americanwhite_,10,0.0
0,220,filledblack or african americanwhite_,110,0.0
2,418,filledblack or african americanwhite_,210,0.004784688995215311
2,618,filledblack or african americanwhite_,310,0.003236245954692557
4,816,filledblack or african americanwhite_,410,0.004901960784313725
5,1015,filledblack or african americanwhite_,510,0.0049261083743842365
14,1206,filledblack or african americanwhite_,610,0.011608623548922056
19,1401,filledblack or african americanwhite_,710,0.013561741613133477
27,1593,filledblack or african americanwhite_,810,0.01694915254237288
34,1786,filledblack or african americanwhite_,910,0.019036954087346025
46,1974,filledblack or african americanwhite_,1010,0.02330293819655522
55,2165,filledblack or african americanwhite_,1110,0.025404157043879907
68,2352,filledblack or african americanwhite_,1210,0.02891156462585034
81,2539,filledblack or african americanwhite_,1310,0.03190232374950768
88,2732,filledblack or african americanwhite_,1410,0.032210834553440704
100,2920,filledblack or african americanwhite_,1510,0.03424657534246575
112,3108,filledblack or african americanwhite_,1610,0.036036036036036036
122,3298,filledblack or african americanwhite_,1710,0.03699211643420255
140,3480,filledblack or african americanwhite_,1810,0.040229885057471264
159,3661,filledblack or african americanwhite_,1910,0.04343075662387326
177,3843,filledblack or african americanwhite_,2010,0.04605776736924278
193,4027,filledblack or african americanwhite_,2110,0.04792649615098088
208,4212,filledblack or african americanwhite_,2210,0.04938271604938271
226,4394,filledblack or african americanwhite_,2310,0.051433773327264454
241,4579,filledblack or african americanwhite_,2410,0.05263157894736842
260,4760,filledblack or african americanwhite_,2510,0.0546218487394958
284,4936,filledblack or african americanwhite_,2610,0.05753646677471637
303,5117,filledblack or african americanwhite_,2710,0.05921438342778972
322,5298,filledblack or african americanwhite_,2810,0.06077765194412986
352,5468,filledblack or african americanwhite_,2910,0.06437454279444038
383,5637,filledblack or african americanwhite_,3010,0.06794394181302112
418,5802,filledblack or african americanwhite_,3110,0.07204412271630473
440,5980,filledblack or african americanwhite_,3210,0.07357859531772576
467,6153,filledblack or african americanwhite_,3310,0.07589793596619535
484,6336,filledblack or african americanwhite_,3410,0.0763888888888889
514,6506,filledblack or african americanwhite_,3510,0.07900399631109745
542,6678,filledblack or african americanwhite_,3610,0.08116202455825097
571,6849,filledblack or african americanwhite_,3710,0.08336983501241058
592,7028,filledblack or african americanwhite_,3810,0.0842344906089926
619,7201,filledblack or african americanwhite_,3910,0.08596028329398694
642,7378,filledblack or african americanwhite_,4010,0.08701545134182706
668,7552,filledblack or african americanwhite_,4110,0.08845338983050847
691,7729,filledblack or african americanwhite_,4210,0.08940354508992107
707,7913,filledblack or african americanwhite_,4310,0.0893466447617844
733,8087,filledblack or african americanwhite_,4410,0.09063929763818473
752,8268,filledblack or african americanwhite_,4510,0.09095307208514755
781,8439,filledblack or african americanwhite_,4610,0.09254651025002962
803,8617,filledblack or african americanwhite_,4710,0.09318788441452942
834,8786,filledblack or african americanwhite_,4810,0.09492374231732302
863,8957,filledblack or african americanwhite_,4910,0.09634922407055933
