size intersection,size union,state,k,mean JI
0,20,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,10,0.017543859649122806
10,210,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,110,0.08356522111391755
33,387,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,210,0.11571847536253714
64,556,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,310,0.13351115598368615
101,719,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,410,0.15527643694233606
140,880,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,510,0.16413444650781414
176,1044,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,610,0.1682641748933904
213,1207,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,710,0.17743773370772406
242,1378,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,810,0.1774198276345884
280,1540,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,910,0.17877782976509402
322,1698,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1010,0.1818088202671312
359,1861,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1110,0.1842838093598661
392,2028,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1210,0.18617822095317418
431,2189,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1310,0.18828608740095398
469,2351,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1410,0.18858141501708983
502,2518,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1510,0.18837265788898036
539,2681,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1610,0.19011056449137786
575,2845,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1710,0.19305590756877497
603,3017,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1810,0.19309078144142444
640,3180,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1910,0.1903659867292118
674,3346,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2010,0.19191799224455242
708,3512,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2110,0.1930872345678486
751,3669,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2210,0.19520763406502387
789,3831,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2310,0.19452008187736644
831,3989,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2410,0.1967046000073448
860,4160,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2510,0.1955171137641599
898,4322,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2610,0.19560873116296543
942,4478,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2710,0.197803229655361
976,4644,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2810,0.1994262850139149
1028,4792,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2910,0.2012232209310194
1071,4949,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3010,0.20269624361508776
1103,5117,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3110,0.20306715477988016
1147,5273,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3210,0.20477073679933336
1191,5429,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3310,0.20507346491365883
1236,5584,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3410,0.20602042052170866
1282,5738,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3510,0.20701980292932634
1320,5900,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3610,0.2064549947577524
1368,6052,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3710,0.20707702973660225
1406,6214,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3810,0.20754543200114386
1446,6374,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3910,0.20717754253974752
1491,6529,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4010,0.20821863663829274
1541,6679,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4110,0.20922489201701688
1580,6840,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4210,0.20960945078351303
1625,6995,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4310,0.21002988220357185
1663,7157,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4410,0.21047441913838597
1695,7325,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4510,0.21012494909767207
1733,7487,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4610,0.20992410152051677
1776,7644,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4710,0.21039243997592594
1810,7810,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4810,0.21091015551430173
1848,7972,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4910,0.2111724345852771
