size intersection,size union,state,k,mean JI
1,19,filledfemalemale_,10,0.05263157894736842
41,179,filledfemalemale_,110,0.22905027932960895
77,343,filledfemalemale_,210,0.22448979591836735
120,500,filledfemalemale_,310,0.24
167,653,filledfemalemale_,410,0.2557427258805513
218,802,filledfemalemale_,510,0.2718204488778055
264,956,filledfemalemale_,610,0.27615062761506276
304,1116,filledfemalemale_,710,0.2724014336917563
347,1273,filledfemalemale_,810,0.27258444619010214
394,1426,filledfemalemale_,910,0.2762973352033661
440,1580,filledfemalemale_,1010,0.27848101265822783
486,1734,filledfemalemale_,1110,0.28027681660899656
535,1885,filledfemalemale_,1210,0.2838196286472148
582,2038,filledfemalemale_,1310,0.2855740922473013
620,2200,filledfemalemale_,1410,0.2818181818181818
663,2357,filledfemalemale_,1510,0.28128977513788717
713,2507,filledfemalemale_,1610,0.28440366972477066
764,2656,filledfemalemale_,1710,0.2876506024096386
802,2818,filledfemalemale_,1810,0.28459900638750885
847,2973,filledfemalemale_,1910,0.28489741002354524
888,3132,filledfemalemale_,2010,0.2835249042145594
926,3294,filledfemalemale_,2110,0.28111718275652703
960,3460,filledfemalemale_,2210,0.2774566473988439
1010,3610,filledfemalemale_,2310,0.27977839335180055
1055,3765,filledfemalemale_,2410,0.28021248339973437
1094,3926,filledfemalemale_,2510,0.27865511971472234
1129,4091,filledfemalemale_,2610,0.2759716450745539
1170,4250,filledfemalemale_,2710,0.2752941176470588
1212,4408,filledfemalemale_,2810,0.2749546279491833
1259,4561,filledfemalemale_,2910,0.27603595702696776
1310,4710,filledfemalemale_,3010,0.2781316348195329
1342,4878,filledfemalemale_,3110,0.27511275112751127
1390,5030,filledfemalemale_,3210,0.27634194831013914
1433,5187,filledfemalemale_,3310,0.27626759205706575
1472,5348,filledfemalemale_,3410,0.275243081525804
1511,5509,filledfemalemale_,3510,0.27427845343982576
1573,5647,filledfemalemale_,3610,0.2785549849477599
1620,5800,filledfemalemale_,3710,0.2793103448275862
1670,5950,filledfemalemale_,3810,0.280672268907563
1724,6096,filledfemalemale_,3910,0.2828083989501312
1769,6251,filledfemalemale_,4010,0.28299472084466487
1813,6407,filledfemalemale_,4110,0.2829717496488216
1858,6562,filledfemalemale_,4210,0.2831453825053337
1902,6718,filledfemalemale_,4310,0.2831199761833879
1947,6873,filledfemalemale_,4410,0.28328240942819727
1996,7024,filledfemalemale_,4510,0.28416856492027337
2043,7177,filledfemalemale_,4610,0.28465932841019925
2099,7321,filledfemalemale_,4710,0.2867094659199563
2148,7472,filledfemalemale_,4810,0.2874732334047109
2187,7633,filledfemalemale_,4910,0.2865190619677715
