size intersection,size union,state,k,mean JI
0,20,filledlowerupper_,10,0.0
4,216,filledlowerupper_,110,0.018518518518518517
23,397,filledlowerupper_,210,0.05793450881612091
52,568,filledlowerupper_,310,0.09154929577464789
82,738,filledlowerupper_,410,0.1111111111111111
105,915,filledlowerupper_,510,0.11475409836065574
130,1090,filledlowerupper_,610,0.11926605504587157
161,1259,filledlowerupper_,710,0.1278792692613185
186,1434,filledlowerupper_,810,0.1297071129707113
223,1597,filledlowerupper_,910,0.13963681903569192
254,1766,filledlowerupper_,1010,0.1438278595696489
286,1934,filledlowerupper_,1110,0.14788004136504654
315,2105,filledlowerupper_,1210,0.1496437054631829
339,2281,filledlowerupper_,1310,0.14861902674265673
371,2449,filledlowerupper_,1410,0.15149040424663127
400,2620,filledlowerupper_,1510,0.15267175572519084
426,2794,filledlowerupper_,1610,0.15246957766642805
453,2967,filledlowerupper_,1710,0.15267947421638017
487,3133,filledlowerupper_,1810,0.15544206830513885
512,3308,filledlowerupper_,1910,0.154776299879081
543,3477,filledlowerupper_,2010,0.15616911130284727
568,3652,filledlowerupper_,2110,0.15553121577217963
602,3818,filledlowerupper_,2210,0.15767417496071243
624,3996,filledlowerupper_,2310,0.15615615615615616
653,4167,filledlowerupper_,2410,0.15670746340292777
687,4333,filledlowerupper_,2510,0.1585506577429033
713,4507,filledlowerupper_,2610,0.15819835810960728
741,4679,filledlowerupper_,2710,0.1583671724727506
767,4853,filledlowerupper_,2810,0.15804656913249537
803,5017,filledlowerupper_,2910,0.16005581024516644
835,5185,filledlowerupper_,3010,0.16104146576663453
865,5355,filledlowerupper_,3110,0.161531279178338
889,5531,filledlowerupper_,3210,0.16073042849394323
922,5698,filledlowerupper_,3310,0.1618111618111618
944,5876,filledlowerupper_,3410,0.16065350578624915
970,6050,filledlowerupper_,3510,0.16033057851239668
999,6221,filledlowerupper_,3610,0.16058511493329047
1029,6391,filledlowerupper_,3710,0.16100766703176342
1062,6558,filledlowerupper_,3810,0.16193961573650503
1088,6732,filledlowerupper_,3910,0.16161616161616163
1116,6904,filledlowerupper_,4010,0.16164542294322132
1147,7073,filledlowerupper_,4110,0.16216598331683868
1171,7249,filledlowerupper_,4210,0.1615395226927852
1200,7420,filledlowerupper_,4310,0.16172506738544473
1230,7590,filledlowerupper_,4410,0.16205533596837945
1255,7765,filledlowerupper_,4510,0.16162266580811332
1281,7939,filledlowerupper_,4610,0.16135533442499056
1315,8105,filledlowerupper_,4710,0.16224552745219
1336,8284,filledlowerupper_,4810,0.1612747464992757
1369,8451,filledlowerupper_,4910,0.16199266359010767
