size intersection,size union,state,k,mean JI
0,20,filledasianwhite_,10,0.0
14,206,filledasianwhite_,110,0.06796116504854369
35,385,filledasianwhite_,210,0.09090909090909091
62,558,filledasianwhite_,310,0.1111111111111111
91,729,filledasianwhite_,410,0.12482853223593965
125,895,filledasianwhite_,510,0.13966480446927373
160,1060,filledasianwhite_,610,0.1509433962264151
210,1210,filledasianwhite_,710,0.17355371900826447
255,1365,filledasianwhite_,810,0.18681318681318682
301,1519,filledasianwhite_,910,0.19815668202764977
349,1671,filledasianwhite_,1010,0.20885697187312985
407,1813,filledasianwhite_,1110,0.22448979591836735
460,1960,filledasianwhite_,1210,0.23469387755102042
502,2118,filledasianwhite_,1310,0.23701605288007555
547,2273,filledasianwhite_,1410,0.24065112186537616
606,2414,filledasianwhite_,1510,0.2510356255178128
664,2556,filledasianwhite_,1610,0.2597809076682316
710,2710,filledasianwhite_,1710,0.26199261992619927
763,2857,filledasianwhite_,1810,0.2670633531676584
819,3001,filledasianwhite_,1910,0.2729090303232256
878,3142,filledasianwhite_,2010,0.279439847231063
940,3280,filledasianwhite_,2110,0.2865853658536585
985,3435,filledasianwhite_,2210,0.2867540029112082
1042,3578,filledasianwhite_,2310,0.29122414756847403
1102,3718,filledasianwhite_,2410,0.29639591178052715
1155,3865,filledasianwhite_,2510,0.2988357050452781
1212,4008,filledasianwhite_,2610,0.3023952095808383
1260,4160,filledasianwhite_,2710,0.30288461538461536
1312,4308,filledasianwhite_,2810,0.3045496750232126
1376,4444,filledasianwhite_,2910,0.3096309630963096
1437,4583,filledasianwhite_,3010,0.31355007636919047
1497,4723,filledasianwhite_,3110,0.31695955960194794
1560,4860,filledasianwhite_,3210,0.32098765432098764
1621,4999,filledasianwhite_,3310,0.3242648529705941
1672,5148,filledasianwhite_,3410,0.3247863247863248
1729,5291,filledasianwhite_,3510,0.32678132678132676
1784,5436,filledasianwhite_,3610,0.32818248712288445
1847,5573,filledasianwhite_,3710,0.33141934326215683
1904,5716,filledasianwhite_,3810,0.3331000699790063
1963,5857,filledasianwhite_,3910,0.335154515963804
2023,5997,filledasianwhite_,4010,0.33733533433383356
2070,6150,filledasianwhite_,4110,0.33658536585365856
2129,6291,filledasianwhite_,4210,0.3384199650294071
2190,6430,filledasianwhite_,4310,0.3405909797822706
2243,6577,filledasianwhite_,4410,0.34103694693629316
2302,6718,filledasianwhite_,4510,0.3426615064007145
2367,6853,filledasianwhite_,4610,0.34539617685685103
2419,7001,filledasianwhite_,4710,0.3455220682759606
2473,7147,filledasianwhite_,4810,0.3460193088008955
2540,7280,filledasianwhite_,4910,0.3489010989010989
