size intersection,size union,state,k,mean JI
0,20,filledlowerupper_,10,0.0
26,194,filledlowerupper_,110,0.13402061855670103
59,361,filledlowerupper_,210,0.1634349030470914
98,522,filledlowerupper_,310,0.18773946360153257
141,679,filledlowerupper_,410,0.20765832106038293
192,828,filledlowerupper_,510,0.2318840579710145
234,986,filledlowerupper_,610,0.23732251521298176
278,1142,filledlowerupper_,710,0.2434325744308231
328,1292,filledlowerupper_,810,0.25386996904024767
369,1451,filledlowerupper_,910,0.25430737422467264
412,1608,filledlowerupper_,1010,0.2562189054726368
459,1761,filledlowerupper_,1110,0.2606473594548552
510,1910,filledlowerupper_,1210,0.2670157068062827
556,2064,filledlowerupper_,1310,0.2693798449612403
613,2207,filledlowerupper_,1410,0.2777526053466244
670,2350,filledlowerupper_,1510,0.2851063829787234
726,2494,filledlowerupper_,1610,0.29109863672814756
780,2640,filledlowerupper_,1710,0.29545454545454547
827,2793,filledlowerupper_,1810,0.29609738632295024
881,2939,filledlowerupper_,1910,0.29976182374957466
938,3082,filledlowerupper_,2010,0.30434782608695654
993,3227,filledlowerupper_,2110,0.30771614502634026
1053,3367,filledlowerupper_,2210,0.3127413127413127
1100,3520,filledlowerupper_,2310,0.3125
1153,3667,filledlowerupper_,2410,0.3144259612762476
1203,3817,filledlowerupper_,2510,0.31516898087503276
1249,3971,filledlowerupper_,2610,0.31453034500125915
1304,4116,filledlowerupper_,2710,0.31681243926141883
1361,4259,filledlowerupper_,2810,0.31955858182671987
1394,4426,filledlowerupper_,2910,0.3149570718481699
1445,4575,filledlowerupper_,3010,0.3158469945355191
1508,4712,filledlowerupper_,3110,0.3200339558573854
1545,4875,filledlowerupper_,3210,0.3169230769230769
1610,5010,filledlowerupper_,3310,0.3213572854291417
1662,5158,filledlowerupper_,3410,0.32221791392012405
1709,5311,filledlowerupper_,3510,0.3217849745810582
1768,5452,filledlowerupper_,3610,0.32428466617754953
1824,5596,filledlowerupper_,3710,0.3259471050750536
1879,5741,filledlowerupper_,3810,0.32729489635951925
1930,5890,filledlowerupper_,3910,0.32767402376910015
1987,6033,filledlowerupper_,4010,0.3293552129951931
2035,6185,filledlowerupper_,4110,0.3290218270008084
2098,6322,filledlowerupper_,4210,0.33185700727617845
2152,6468,filledlowerupper_,4310,0.3327149041434756
2211,6609,filledlowerupper_,4410,0.3345438039037676
2271,6749,filledlowerupper_,4510,0.3364942954511779
2315,6905,filledlowerupper_,4610,0.33526430123099205
2363,7057,filledlowerupper_,4710,0.33484483491568656
2416,7204,filledlowerupper_,4810,0.3353692393114936
2476,7344,filledlowerupper_,4910,0.3371459694989107
