size intersection,size union,state,k,mean JI
2,18,filledfemalemale_,10,0.1111111111111111
48,172,filledfemalemale_,110,0.27906976744186046
87,333,filledfemalemale_,210,0.26126126126126126
146,474,filledfemalemale_,310,0.3080168776371308
186,634,filledfemalemale_,410,0.29337539432176657
232,788,filledfemalemale_,510,0.29441624365482233
278,942,filledfemalemale_,610,0.2951167728237792
339,1081,filledfemalemale_,710,0.3135985198889917
390,1230,filledfemalemale_,810,0.3170731707317073
453,1367,filledfemalemale_,910,0.33138258961228967
516,1504,filledfemalemale_,1010,0.34308510638297873
574,1646,filledfemalemale_,1110,0.3487241798298906
635,1785,filledfemalemale_,1210,0.3557422969187675
691,1929,filledfemalemale_,1310,0.35821669258683253
749,2071,filledfemalemale_,1410,0.36166103331723803
810,2210,filledfemalemale_,1510,0.3665158371040724
875,2345,filledfemalemale_,1610,0.373134328358209
939,2481,filledfemalemale_,1710,0.3784764207980653
996,2624,filledfemalemale_,1810,0.3795731707317073
1063,2757,filledfemalemale_,1910,0.3855640188610809
1129,2891,filledfemalemale_,2010,0.3905223106191629
1186,3034,filledfemalemale_,2110,0.3909030982201714
1239,3181,filledfemalemale_,2210,0.3895001571832757
1294,3326,filledfemalemale_,2310,0.3890559230306675
1360,3460,filledfemalemale_,2410,0.3930635838150289
1419,3601,filledfemalemale_,2510,0.39405720633157454
1476,3744,filledfemalemale_,2610,0.3942307692307692
1539,3881,filledfemalemale_,2710,0.39654728162844627
1594,4026,filledfemalemale_,2810,0.395926477893691
1650,4170,filledfemalemale_,2910,0.39568345323741005
1718,4302,filledfemalemale_,3010,0.399349139934914
1790,4430,filledfemalemale_,3110,0.4040632054176072
1868,4552,filledfemalemale_,3210,0.4103690685413005
1923,4697,filledfemalemale_,3310,0.40941026186927826
1994,4826,filledfemalemale_,3410,0.41317861583091586
2049,4971,filledfemalemale_,3510,0.412190706095353
2120,5100,filledfemalemale_,3610,0.41568627450980394
2182,5238,filledfemalemale_,3710,0.4165712103856434
2240,5380,filledfemalemale_,3810,0.4163568773234201
2304,5516,filledfemalemale_,3910,0.4176939811457578
2365,5655,filledfemalemale_,4010,0.4182139699381079
2430,5790,filledfemalemale_,4110,0.41968911917098445
2496,5924,filledfemalemale_,4210,0.42133693450371373
2562,6058,filledfemalemale_,4310,0.4229118520964015
2628,6192,filledfemalemale_,4410,0.42441860465116277
2691,6329,filledfemalemale_,4510,0.4251856533417602
2759,6461,filledfemalemale_,4610,0.4270236805448073
2827,6593,filledfemalemale_,4710,0.42878810860003036
2893,6727,filledfemalemale_,4810,0.4300579753233239
2956,6864,filledfemalemale_,4910,0.43065268065268064
