size intersection,size union,state,k,mean JI
1,19,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,10,0.07636738906088751
38,182,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,110,0.16488142936029804
76,344,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,210,0.17623073687994503
114,506,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,310,0.17677608259564284
155,665,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,410,0.17834289119474112
195,825,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,510,0.18268938576806307
233,987,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,610,0.18339705907519244
279,1141,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,710,0.1921739149232372
319,1301,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,810,0.1969104221102124
368,1452,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,910,0.20219247351805192
410,1610,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1010,0.20035107186095447
459,1761,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1110,0.2062067975434926
506,1914,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1210,0.20701442515237534
559,2061,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1310,0.21006336490428915
609,2211,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1410,0.21330930629308945
646,2374,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1510,0.2142972823065135
697,2523,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1610,0.21702089791648413
749,2671,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1710,0.22113504525126307
806,2814,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1810,0.2249915568788122
856,2964,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1910,0.22770291165992465
912,3108,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2010,0.2305441166190935
964,3256,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2110,0.2325230736783083
1005,3415,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2210,0.23173152241715153
1045,3575,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2310,0.23308423795700284
1089,3731,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2410,0.23380045751000758
1147,3873,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2510,0.23632118387499776
1202,4018,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2610,0.23863918089059055
1251,4169,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2710,0.24058975767536253
1290,4330,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2810,0.2418390439618776
1333,4487,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2910,0.24268335556978463
1381,4639,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3010,0.24359647943383658
1435,4785,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3110,0.24569857437619347
1477,4943,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3210,0.24611679678678575
1528,5092,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3310,0.2469071537705885
1583,5237,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3410,0.24974890429801247
1632,5388,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3510,0.2502466992444022
1697,5523,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3610,0.2523117793041116
1755,5665,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3710,0.2535227302224929
1812,5808,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3810,0.2552138509127065
1866,5954,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3910,0.257442620442327
1924,6096,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4010,0.25743922079144643
1973,6247,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4110,0.2581074848859131
2034,6386,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4210,0.25954773245808077
2082,6538,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4310,0.26097155394463
2128,6692,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4410,0.2619330533140211
2187,6833,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4510,0.26313796512861365
2239,6981,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4610,0.2628750896717035
2286,7134,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4710,0.26344519489596296
2341,7279,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4810,0.2644607173702486
2391,7429,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4910,0.264804120056832
