size intersection,size union,state,k,mean JI
3,17,filledg_alllower_,10,0.17647058823529413
63,157,filledg_alllower_,110,0.4012738853503185
120,300,filledg_alllower_,210,0.4
177,443,filledg_alllower_,310,0.39954853273137697
231,589,filledg_alllower_,410,0.3921901528013582
284,736,filledg_alllower_,510,0.3858695652173913
338,882,filledg_alllower_,610,0.3832199546485261
396,1024,filledg_alllower_,710,0.38671875
447,1173,filledg_alllower_,810,0.38107416879795397
488,1332,filledg_alllower_,910,0.3663663663663664
538,1482,filledg_alllower_,1010,0.3630229419703104
582,1638,filledg_alllower_,1110,0.3553113553113553
638,1782,filledg_alllower_,1210,0.35802469135802467
694,1926,filledg_alllower_,1310,0.3603322949117342
749,2071,filledg_alllower_,1410,0.36166103331723803
786,2234,filledg_alllower_,1510,0.35183527305282003
825,2395,filledg_alllower_,1610,0.3444676409185804
862,2558,filledg_alllower_,1710,0.33698201720093823
900,2720,filledg_alllower_,1810,0.33088235294117646
932,2888,filledg_alllower_,1910,0.32271468144044324
959,3061,filledg_alllower_,2010,0.313296308395949
1009,3211,filledg_alllower_,2110,0.31423232637807536
1050,3370,filledg_alllower_,2210,0.3115727002967359
1083,3537,filledg_alllower_,2310,0.3061916878710772
1126,3694,filledg_alllower_,2410,0.30481862479696803
1168,3852,filledg_alllower_,2510,0.3032191069574247
1206,4014,filledg_alllower_,2610,0.3004484304932735
1239,4181,filledg_alllower_,2710,0.2963405883759866
1274,4346,filledg_alllower_,2810,0.2931431201104464
1312,4508,filledg_alllower_,2910,0.29103815439219166
1358,4662,filledg_alllower_,3010,0.2912912912912913
1402,4818,filledg_alllower_,3110,0.2909921129099211
1437,4983,filledg_alllower_,3210,0.28838049367850693
1473,5147,filledg_alllower_,3310,0.286186127841461
1505,5315,filledg_alllower_,3410,0.2831608654750706
1541,5479,filledg_alllower_,3510,0.28125570359554664
1579,5641,filledg_alllower_,3610,0.2799149087041305
1609,5811,filledg_alllower_,3710,0.276888659438995
1646,5974,filledg_alllower_,3810,0.2755272849012387
1672,6148,filledg_alllower_,3910,0.2719583604424203
1719,6301,filledg_alllower_,4010,0.272813839073163
1751,6469,filledg_alllower_,4110,0.2706755294481373
1798,6622,filledg_alllower_,4210,0.27151917849592266
1838,6782,filledg_alllower_,4310,0.2710115010321439
1870,6950,filledg_alllower_,4410,0.26906474820143883
1899,7121,filledg_alllower_,4510,0.2666760286476618
1934,7286,filledg_alllower_,4610,0.26544057095800166
1965,7455,filledg_alllower_,4710,0.2635814889336016
2006,7614,filledg_alllower_,4810,0.2634620436038876
2037,7783,filledg_alllower_,4910,0.2617242708467172
