size intersection,size union,state,k,mean JI
2,18,filledg_alllower_,10,0.1111111111111111
46,174,filledg_alllower_,110,0.26436781609195403
90,330,filledg_alllower_,210,0.2727272727272727
131,489,filledg_alllower_,310,0.26789366053169733
171,649,filledg_alllower_,410,0.26348228043143296
211,809,filledg_alllower_,510,0.26081582200247216
253,967,filledg_alllower_,610,0.26163391933815927
298,1122,filledg_alllower_,710,0.26559714795008915
334,1286,filledg_alllower_,810,0.25972006220839816
369,1451,filledg_alllower_,910,0.25430737422467264
399,1621,filledg_alllower_,1010,0.2461443553362122
432,1788,filledg_alllower_,1110,0.24161073825503357
471,1949,filledg_alllower_,1210,0.24166239096972805
512,2108,filledg_alllower_,1310,0.2428842504743833
543,2277,filledg_alllower_,1410,0.23847167325428195
573,2447,filledg_alllower_,1510,0.2341642827952595
612,2608,filledg_alllower_,1610,0.23466257668711657
651,2769,filledg_alllower_,1710,0.23510292524377033
685,2935,filledg_alllower_,1810,0.23339011925042588
730,3090,filledg_alllower_,1910,0.23624595469255663
759,3261,filledg_alllower_,2010,0.23275068997240111
805,3415,filledg_alllower_,2110,0.23572474377745242
839,3581,filledg_alllower_,2210,0.2342920971795588
870,3750,filledg_alllower_,2310,0.232
904,3916,filledg_alllower_,2410,0.23084780388151174
936,4084,filledg_alllower_,2510,0.22918707149853085
964,4256,filledg_alllower_,2610,0.22650375939849623
1003,4417,filledg_alllower_,2710,0.22707720172062487
1041,4579,filledg_alllower_,2810,0.2273422144573051
1080,4740,filledg_alllower_,2910,0.22784810126582278
1114,4906,filledg_alllower_,3010,0.22706889523033022
1141,5079,filledg_alllower_,3110,0.22465052175625122
1186,5234,filledg_alllower_,3210,0.2265953381734811
1223,5397,filledg_alllower_,3310,0.22660737446729665
1251,5569,filledg_alllower_,3410,0.2246363799604956
1278,5742,filledg_alllower_,3510,0.2225705329153605
1301,5919,filledg_alllower_,3610,0.2198006420003379
1330,6090,filledg_alllower_,3710,0.21839080459770116
1359,6261,filledg_alllower_,3810,0.21705797795879253
1391,6429,filledg_alllower_,3910,0.2163633535542075
1419,6601,filledg_alllower_,4010,0.21496742917739736
1451,6769,filledg_alllower_,4110,0.21435958044024228
1477,6943,filledg_alllower_,4210,0.212732248307648
1495,7125,filledg_alllower_,4310,0.20982456140350877
1523,7297,filledg_alllower_,4410,0.2087159106482116
1548,7472,filledg_alllower_,4510,0.20717344753747324
1568,7652,filledg_alllower_,4610,0.20491374803972817
1595,7825,filledg_alllower_,4710,0.20383386581469648
1619,8001,filledg_alllower_,4810,0.20234970628671417
1639,8181,filledg_alllower_,4910,0.20034225644786702
