size intersection,size union,state,k,mean JI
4,16,filledg_allfemale_,10,0.25
57,163,filledg_allfemale_,110,0.3496932515337423
126,294,filledg_allfemale_,210,0.42857142857142855
187,433,filledg_allfemale_,310,0.43187066974595845
244,576,filledg_allfemale_,410,0.4236111111111111
292,728,filledg_allfemale_,510,0.4010989010989011
339,881,filledg_allfemale_,610,0.3847900113507378
388,1032,filledg_allfemale_,710,0.375968992248062
451,1169,filledg_allfemale_,810,0.3857998289136014
499,1321,filledg_allfemale_,910,0.3777441332323997
557,1463,filledg_allfemale_,1010,0.38072453861927547
612,1608,filledg_allfemale_,1110,0.3805970149253731
673,1747,filledg_allfemale_,1210,0.38523182598740696
710,1910,filledg_allfemale_,1310,0.3717277486910995
761,2059,filledg_allfemale_,1410,0.3695968916949976
810,2210,filledg_allfemale_,1510,0.3665158371040724
864,2356,filledg_allfemale_,1610,0.366723259762309
909,2511,filledg_allfemale_,1710,0.36200716845878134
943,2677,filledg_allfemale_,1810,0.3522599925289503
984,2836,filledg_allfemale_,1910,0.3469675599435825
1024,2996,filledg_allfemale_,2010,0.3417890520694259
1074,3146,filledg_allfemale_,2110,0.3413858868404323
1125,3295,filledg_allfemale_,2210,0.34142640364188165
1161,3459,filledg_allfemale_,2310,0.33564614050303554
1197,3623,filledg_allfemale_,2410,0.33038918023737235
1255,3765,filledg_allfemale_,2510,0.3333333333333333
1290,3930,filledg_allfemale_,2610,0.3282442748091603
1342,4078,filledg_allfemale_,2710,0.32908288376655226
1396,4224,filledg_allfemale_,2810,0.33049242424242425
1443,4377,filledg_allfemale_,2910,0.3296778615490062
1485,4535,filledg_allfemale_,3010,0.3274531422271224
1517,4703,filledg_allfemale_,3110,0.32256006804167553
1566,4854,filledg_allfemale_,3210,0.3226205191594561
1603,5017,filledg_allfemale_,3310,0.31951365357783534
1643,5177,filledg_allfemale_,3410,0.31736526946107785
1680,5340,filledg_allfemale_,3510,0.3146067415730337
1729,5491,filledg_allfemale_,3610,0.314878892733564
1775,5645,filledg_allfemale_,3710,0.31443755535872453
1819,5801,filledg_allfemale_,3810,0.3135666264437166
1865,5955,filledg_allfemale_,3910,0.3131821998320739
1897,6123,filledg_allfemale_,4010,0.3098154499428385
1936,6284,filledg_allfemale_,4110,0.30808402291534054
1974,6446,filledg_allfemale_,4210,0.3062364256903506
2015,6605,filledg_allfemale_,4310,0.30507191521574567
2055,6765,filledg_allfemale_,4410,0.30376940133037694
2098,6922,filledg_allfemale_,4510,0.3030915920254262
2138,7082,filledg_allfemale_,4610,0.30189212086981076
2180,7240,filledg_allfemale_,4710,0.3011049723756906
2211,7409,filledg_allfemale_,4810,0.2984208395195033
2255,7565,filledg_allfemale_,4910,0.29808327825512226
