size intersection,size union,state,k,mean JI
5,15,filledg_allwhite_,10,0.3333333333333333
67,153,filledg_allwhite_,110,0.43790849673202614
126,294,filledg_allwhite_,210,0.42857142857142855
181,439,filledg_allwhite_,310,0.4123006833712984
243,577,filledg_allwhite_,410,0.42114384748700173
314,706,filledg_allwhite_,510,0.4447592067988669
370,850,filledg_allwhite_,610,0.43529411764705883
436,984,filledg_allwhite_,710,0.44308943089430897
515,1105,filledg_allwhite_,810,0.4660633484162896
580,1240,filledg_allwhite_,910,0.46774193548387094
652,1368,filledg_allwhite_,1010,0.4766081871345029
702,1518,filledg_allwhite_,1110,0.4624505928853755
771,1649,filledg_allwhite_,1210,0.4675560946027896
838,1782,filledg_allwhite_,1310,0.4702581369248036
900,1920,filledg_allwhite_,1410,0.46875
972,2048,filledg_allwhite_,1510,0.474609375
1044,2176,filledg_allwhite_,1610,0.4797794117647059
1124,2296,filledg_allwhite_,1710,0.4895470383275261
1191,2429,filledg_allwhite_,1810,0.49032523672293127
1264,2556,filledg_allwhite_,1910,0.4945226917057903
1327,2693,filledg_allwhite_,2010,0.4927590048273301
1387,2833,filledg_allwhite_,2110,0.4895870102364984
1457,2963,filledg_allwhite_,2210,0.49173135335808305
1529,3091,filledg_allwhite_,2310,0.49466192170818507
1594,3226,filledg_allwhite_,2410,0.4941103533787973
1667,3353,filledg_allwhite_,2510,0.49716671637339693
1728,3492,filledg_allwhite_,2610,0.4948453608247423
1805,3615,filledg_allwhite_,2710,0.49930843706777317
1875,3745,filledg_allwhite_,2810,0.5006675567423231
1952,3868,filledg_allwhite_,2910,0.5046535677352637
2041,3979,filledg_allwhite_,3010,0.5129429504900729
2115,4105,filledg_allwhite_,3110,0.5152253349573691
2198,4222,filledg_allwhite_,3210,0.5206063477025107
2282,4338,filledg_allwhite_,3310,0.5260488704472107
2344,4476,filledg_allwhite_,3410,0.5236818588025023
2411,4609,filledg_allwhite_,3510,0.523106964634411
2480,4740,filledg_allwhite_,3610,0.5232067510548524
2560,4860,filledg_allwhite_,3710,0.5267489711934157
2634,4986,filledg_allwhite_,3810,0.5282791817087846
2716,5104,filledg_allwhite_,3910,0.5321316614420063
2788,5232,filledg_allwhite_,4010,0.5328746177370031
2865,5355,filledg_allwhite_,4110,0.5350140056022409
2950,5470,filledg_allwhite_,4210,0.5393053016453382
3037,5583,filledg_allwhite_,4310,0.5439727744939996
3117,5703,filledg_allwhite_,4410,0.5465544450289321
3198,5822,filledg_allwhite_,4510,0.5492957746478874
3271,5949,filledg_allwhite_,4610,0.54984030929568
3348,6072,filledg_allwhite_,4710,0.5513833992094862
3428,6192,filledg_allwhite_,4810,0.5536175710594315
3503,6317,filledg_allwhite_,4910,0.5545353807186956
