size intersection,size union,state,k,mean JI
8,12,filledg_allwhite_,10,0.6666666666666666
93,127,filledg_allwhite_,110,0.7322834645669292
177,243,filledg_allwhite_,210,0.7283950617283951
259,361,filledg_allwhite_,310,0.7174515235457064
352,468,filledg_allwhite_,410,0.7521367521367521
431,589,filledg_allwhite_,510,0.7317487266553481
511,709,filledg_allwhite_,610,0.7207334273624824
591,829,filledg_allwhite_,710,0.7129071170084439
674,946,filledg_allwhite_,810,0.7124735729386892
754,1066,filledg_allwhite_,910,0.7073170731707317
837,1183,filledg_allwhite_,1010,0.7075232459847844
914,1306,filledg_allwhite_,1110,0.6998468606431854
997,1423,filledg_allwhite_,1210,0.7006324666198173
1078,1542,filledg_allwhite_,1310,0.6990920881971465
1149,1671,filledg_allwhite_,1410,0.6876122082585279
1221,1799,filledg_allwhite_,1510,0.6787103946637021
1300,1920,filledg_allwhite_,1610,0.6770833333333334
1388,2032,filledg_allwhite_,1710,0.6830708661417323
1466,2154,filledg_allwhite_,1810,0.680594243268338
1538,2282,filledg_allwhite_,1910,0.6739702015775635
1625,2395,filledg_allwhite_,2010,0.6784968684759917
1712,2508,filledg_allwhite_,2110,0.682615629984051
1799,2621,filledg_allwhite_,2210,0.6863792445631438
1884,2736,filledg_allwhite_,2310,0.6885964912280702
1949,2871,filledg_allwhite_,2410,0.6788575409265064
2042,2978,filledg_allwhite_,2510,0.6856950973807925
2125,3095,filledg_allwhite_,2610,0.6865912762520194
2204,3216,filledg_allwhite_,2710,0.6853233830845771
2283,3337,filledg_allwhite_,2810,0.6841474378183997
2358,3462,filledg_allwhite_,2910,0.6811091854419411
2420,3600,filledg_allwhite_,3010,0.6722222222222223
2508,3712,filledg_allwhite_,3110,0.6756465517241379
2586,3834,filledg_allwhite_,3210,0.6744913928012519
2656,3964,filledg_allwhite_,3310,0.6700302724520686
2727,4093,filledg_allwhite_,3410,0.6662594673833374
2797,4223,filledg_allwhite_,3510,0.6623253611176888
2862,4358,filledg_allwhite_,3610,0.6567232675539239
2950,4470,filledg_allwhite_,3710,0.6599552572706935
3021,4599,filledg_allwhite_,3810,0.6568819308545336
3100,4720,filledg_allwhite_,3910,0.6567796610169492
3173,4847,filledg_allwhite_,4010,0.6546317309676088
3249,4971,filledg_allwhite_,4110,0.6535908267954134
3325,5095,filledg_allwhite_,4210,0.6526005888125613
3397,5223,filledg_allwhite_,4310,0.6503924947348267
3461,5359,filledg_allwhite_,4410,0.6458294457921254
3541,5479,filledg_allwhite_,4510,0.6462858185800329
3624,5596,filledg_allwhite_,4610,0.6476054324517513
3706,5714,filledg_allwhite_,4710,0.648582429121456
3777,5843,filledg_allwhite_,4810,0.6464145130925895
3837,5983,filledg_allwhite_,4910,0.6413170650175497
