size intersection,size union,state,k,mean JI
6,14,filledg_allmale_,10,0.42857142857142855
38,182,filledg_allmale_,110,0.2087912087912088
68,352,filledg_allmale_,210,0.19318181818181818
111,509,filledg_allmale_,310,0.2180746561886051
164,656,filledg_allmale_,410,0.25
213,807,filledg_allmale_,510,0.26394052044609667
269,951,filledg_allmale_,610,0.28286014721345953
318,1102,filledg_allmale_,710,0.2885662431941924
373,1247,filledg_allmale_,810,0.2991178829190056
414,1406,filledg_allmale_,910,0.29445234708392604
480,1540,filledg_allmale_,1010,0.3116883116883117
534,1686,filledg_allmale_,1110,0.3167259786476868
582,1838,filledg_allmale_,1210,0.31664853101196955
635,1985,filledg_allmale_,1310,0.3198992443324937
676,2144,filledg_allmale_,1410,0.31529850746268656
726,2294,filledg_allmale_,1510,0.3164777680906713
776,2444,filledg_allmale_,1610,0.31751227495908346
842,2578,filledg_allmale_,1710,0.32660977501939487
886,2734,filledg_allmale_,1810,0.324067300658376
943,2877,filledg_allmale_,1910,0.32777198470629126
999,3021,filledg_allmale_,2010,0.33068520357497516
1047,3173,filledg_allmale_,2110,0.3299716356760164
1099,3321,filledg_allmale_,2210,0.33092442035531466
1147,3473,filledg_allmale_,2310,0.3302620213072272
1200,3620,filledg_allmale_,2410,0.3314917127071823
1242,3778,filledg_allmale_,2510,0.3287453679195341
1286,3934,filledg_allmale_,2610,0.32689374682257244
1332,4088,filledg_allmale_,2710,0.3258317025440313
1384,4236,filledg_allmale_,2810,0.3267233238904627
1447,4373,filledg_allmale_,2910,0.3308941230276698
1501,4519,filledg_allmale_,3010,0.3321531312237221
1555,4665,filledg_allmale_,3110,0.3333333333333333
1598,4822,filledg_allmale_,3210,0.33139776026545004
1653,4967,filledg_allmale_,3310,0.3327964566136501
1705,5115,filledg_allmale_,3410,0.3333333333333333
1756,5264,filledg_allmale_,3510,0.33358662613981765
1815,5405,filledg_allmale_,3610,0.33580018501387604
1869,5551,filledg_allmale_,3710,0.33669609079445145
1921,5699,filledg_allmale_,3810,0.3370766801193192
1979,5841,filledg_allmale_,3910,0.33881184728642355
2028,5992,filledg_allmale_,4010,0.3384512683578104
2072,6148,filledg_allmale_,4110,0.33702016916070265
2135,6285,filledg_allmale_,4210,0.33969769291964996
2190,6430,filledg_allmale_,4310,0.3405909797822706
2242,6578,filledg_allmale_,4410,0.34083307996351475
2302,6718,filledg_allmale_,4510,0.3426615064007145
2357,6863,filledg_allmale_,4610,0.3434358152411482
2418,7002,filledg_allmale_,4710,0.3453299057412168
2473,7147,filledg_allmale_,4810,0.3460193088008955
2524,7296,filledg_allmale_,4910,0.34594298245614036
