size intersection,size union,state,k,mean JI
5,15,filledg_allblack or african american_,10,0.3333333333333333
62,158,filledg_allblack or african american_,110,0.3924050632911392
130,290,filledg_allblack or african american_,210,0.4482758620689655
199,421,filledg_allblack or african american_,310,0.47268408551068886
252,568,filledg_allblack or african american_,410,0.44366197183098594
316,704,filledg_allblack or african american_,510,0.44886363636363635
373,847,filledg_allblack or african american_,610,0.44037780401416765
421,999,filledg_allblack or african american_,710,0.4214214214214214
472,1148,filledg_allblack or african american_,810,0.41114982578397213
521,1299,filledg_allblack or african american_,910,0.4010777521170131
561,1459,filledg_allblack or african american_,1010,0.3845099383139136
619,1601,filledg_allblack or african american_,1110,0.38663335415365396
656,1764,filledg_allblack or african american_,1210,0.37188208616780044
703,1917,filledg_allblack or african american_,1310,0.3667188315075639
760,2060,filledg_allblack or african american_,1410,0.36893203883495146
815,2205,filledg_allblack or african american_,1510,0.36961451247165533
854,2366,filledg_allblack or african american_,1610,0.3609467455621302
893,2527,filledg_allblack or african american_,1710,0.3533834586466165
935,2685,filledg_allblack or african american_,1810,0.34823091247672255
986,2834,filledg_allblack or african american_,1910,0.3479181369089626
1034,2986,filledg_allblack or african american_,2010,0.3462826523777629
1084,3136,filledg_allblack or african american_,2110,0.34566326530612246
1136,3284,filledg_allblack or african american_,2210,0.3459196102314251
1189,3431,filledg_allblack or african american_,2310,0.3465461964441854
1249,3571,filledg_allblack or african american_,2410,0.3497619714365724
1306,3714,filledg_allblack or african american_,2510,0.3516424340333872
1345,3875,filledg_allblack or african american_,2610,0.3470967741935484
1396,4024,filledg_allblack or african american_,2710,0.34691848906560635
1436,4184,filledg_allblack or african american_,2810,0.34321223709369025
1471,4349,filledg_allblack or african american_,2910,0.33823867555759946
1504,4516,filledg_allblack or african american_,3010,0.3330380868024801
1543,4677,filledg_allblack or african american_,3110,0.329912336968142
1581,4839,filledg_allblack or african american_,3210,0.3267203967761934
1626,4994,filledg_allblack or african american_,3310,0.32559070885062075
1672,5148,filledg_allblack or african american_,3410,0.3247863247863248
1719,5301,filledg_allblack or african american_,3510,0.3242784380305603
1758,5462,filledg_allblack or african american_,3610,0.3218601244965214
1804,5616,filledg_allblack or african american_,3710,0.3212250712250712
1841,5779,filledg_allblack or african american_,3810,0.31856722616369615
1881,5939,filledg_allblack or african american_,3910,0.31671998652971883
1931,6089,filledg_allblack or african american_,4010,0.3171292494662506
1975,6245,filledg_allblack or african american_,4110,0.31625300240192156
2015,6405,filledg_allblack or african american_,4210,0.31459797033567527
2055,6565,filledg_allblack or african american_,4310,0.31302361005331303
2084,6736,filledg_allblack or african american_,4410,0.30938242280285033
2117,6903,filledg_allblack or african american_,4510,0.3066782558307982
2152,7068,filledg_allblack or african american_,4610,0.3044708545557442
2186,7234,filledg_allblack or african american_,4710,0.30218413049488524
2216,7404,filledg_allblack or african american_,4810,0.2992976769313884
2249,7571,filledg_allblack or african american_,4910,0.2970545502575617
