size intersection,size union,state,k,mean JI
9,11,filledg_allwhite_,10,0.8181818181818182
92,128,filledg_allwhite_,110,0.71875
181,239,filledg_allwhite_,210,0.7573221757322176
272,348,filledg_allwhite_,310,0.7816091954022989
366,454,filledg_allwhite_,410,0.8061674008810573
437,583,filledg_allwhite_,510,0.7495711835334476
536,684,filledg_allwhite_,610,0.783625730994152
627,793,filledg_allwhite_,710,0.7906683480453972
715,905,filledg_allwhite_,810,0.7900552486187845
801,1019,filledg_allwhite_,910,0.7860647693817469
883,1137,filledg_allwhite_,1010,0.7766051011433597
969,1251,filledg_allwhite_,1110,0.7745803357314148
1061,1359,filledg_allwhite_,1210,0.7807211184694628
1162,1458,filledg_allwhite_,1310,0.7969821673525377
1249,1571,filledg_allwhite_,1410,0.7950350095480586
1335,1685,filledg_allwhite_,1510,0.7922848664688428
1427,1793,filledg_allwhite_,1610,0.795872838817624
1516,1904,filledg_allwhite_,1710,0.7962184873949579
1607,2013,filledg_allwhite_,1810,0.7983109786388475
1698,2122,filledg_allwhite_,1910,0.8001885014137606
1787,2233,filledg_allwhite_,2010,0.800268696820421
1872,2348,filledg_allwhite_,2110,0.797274275979557
1969,2451,filledg_allwhite_,2210,0.8033455732354141
2053,2567,filledg_allwhite_,2310,0.7997662641215426
2135,2685,filledg_allwhite_,2410,0.7951582867783985
2228,2792,filledg_allwhite_,2510,0.7979942693409742
2311,2909,filledg_allwhite_,2610,0.7944310759711241
2406,3014,filledg_allwhite_,2710,0.7982747179827472
2500,3120,filledg_allwhite_,2810,0.8012820512820513
2579,3241,filledg_allwhite_,2910,0.7957420549213206
2672,3348,filledg_allwhite_,3010,0.7980884109916367
2777,3443,filledg_allwhite_,3110,0.8065640429857682
2858,3562,filledg_allwhite_,3210,0.80235822571589
2948,3672,filledg_allwhite_,3310,0.8028322440087146
3034,3786,filledg_allwhite_,3410,0.8013734812466984
3129,3891,filledg_allwhite_,3510,0.8041634541249036
3216,4004,filledg_allwhite_,3610,0.8031968031968032
3303,4117,filledg_allwhite_,3710,0.8022832159339325
3408,4212,filledg_allwhite_,3810,0.8091168091168092
3487,4333,filledg_allwhite_,3910,0.804754211862451
3579,4441,filledg_allwhite_,4010,0.8058995721684306
3669,4551,filledg_allwhite_,4110,0.8061964403427818
3761,4659,filledg_allwhite_,4210,0.8072547757029406
3858,4762,filledg_allwhite_,4310,0.8101637967240655
3951,4869,filledg_allwhite_,4410,0.8114602587800369
4024,4996,filledg_allwhite_,4510,0.8054443554843875
4123,5097,filledg_allwhite_,4610,0.8089072003139102
4213,5207,filledg_allwhite_,4710,0.8091031304013827
4292,5328,filledg_allwhite_,4810,0.8055555555555556
4381,5439,filledg_allwhite_,4910,0.8054789483360912
