size intersection,size union,state,k,mean JI
7,13,filledg_alllower_,10,0.5384615384615384
82,138,filledg_alllower_,110,0.5942028985507246
150,270,filledg_alllower_,210,0.5555555555555556
222,398,filledg_alllower_,310,0.5577889447236181
307,513,filledg_alllower_,410,0.5984405458089669
380,640,filledg_alllower_,510,0.59375
449,771,filledg_alllower_,610,0.582360570687419
518,902,filledg_alllower_,710,0.5742793791574279
579,1041,filledg_alllower_,810,0.5561959654178674
653,1167,filledg_alllower_,910,0.5595544130248501
730,1290,filledg_alllower_,1010,0.5658914728682171
786,1434,filledg_alllower_,1110,0.5481171548117155
849,1571,filledg_alllower_,1210,0.5404201145767027
915,1705,filledg_alllower_,1310,0.5366568914956011
977,1843,filledg_alllower_,1410,0.530113944655453
1037,1983,filledg_alllower_,1510,0.5229450327786183
1096,2124,filledg_alllower_,1610,0.5160075329566854
1161,2259,filledg_alllower_,1710,0.5139442231075697
1227,2393,filledg_alllower_,1810,0.5127455077308818
1275,2545,filledg_alllower_,1910,0.5009823182711198
1344,2676,filledg_alllower_,2010,0.5022421524663677
1406,2814,filledg_alllower_,2110,0.4996446339729922
1465,2955,filledg_alllower_,2210,0.4957698815566836
1533,3087,filledg_alllower_,2310,0.4965986394557823
1589,3231,filledg_alllower_,2410,0.4917982048901269
1639,3381,filledg_alllower_,2510,0.4847678201715469
1695,3525,filledg_alllower_,2610,0.4808510638297872
1770,3650,filledg_alllower_,2710,0.4849315068493151
1832,3788,filledg_alllower_,2810,0.4836325237592397
1897,3923,filledg_alllower_,2910,0.4835585011470813
1950,4070,filledg_alllower_,3010,0.47911547911547914
1999,4221,filledg_alllower_,3110,0.47358445865908555
2057,4363,filledg_alllower_,3210,0.47146458858583545
2121,4499,filledg_alllower_,3310,0.4714380973549678
2179,4641,filledg_alllower_,3410,0.46951088127558716
2243,4777,filledg_alllower_,3510,0.46954155327611474
2298,4922,filledg_alllower_,3610,0.4668833807395368
2358,5062,filledg_alllower_,3710,0.4658237850651916
2417,5203,filledg_alllower_,3810,0.46453968864116857
2472,5348,filledg_alllower_,3910,0.46222887060583395
2528,5492,filledg_alllower_,4010,0.46030589949016754
2574,5646,filledg_alllower_,4110,0.45589798087141337
2628,5792,filledg_alllower_,4210,0.4537292817679558
2683,5937,filledg_alllower_,4310,0.4519117399359946
2726,6094,filledg_alllower_,4410,0.44732523793895634
2783,6237,filledg_alllower_,4510,0.4462081128747795
2832,6388,filledg_alllower_,4610,0.443331246086412
2874,6546,filledg_alllower_,4710,0.4390467461044913
2932,6688,filledg_alllower_,4810,0.4383971291866029
2983,6837,filledg_alllower_,4910,0.4363024718443762
