size intersection,size union,state,k,mean JI
5,15,filledg_allwhite_,10,0.3333333333333333
47,173,filledg_allwhite_,110,0.27167630057803466
89,331,filledg_allwhite_,210,0.2688821752265861
125,495,filledg_allwhite_,310,0.25252525252525254
173,647,filledg_allwhite_,410,0.26738794435857804
226,794,filledg_allwhite_,510,0.28463476070528965
266,954,filledg_allwhite_,610,0.27882599580712786
326,1094,filledg_allwhite_,710,0.2979890310786106
375,1245,filledg_allwhite_,810,0.30120481927710846
421,1399,filledg_allwhite_,910,0.30092923516797715
476,1544,filledg_allwhite_,1010,0.3082901554404145
516,1704,filledg_allwhite_,1110,0.3028169014084507
558,1862,filledg_allwhite_,1210,0.2996777658431794
610,2010,filledg_allwhite_,1310,0.3034825870646766
665,2155,filledg_allwhite_,1410,0.308584686774942
718,2302,filledg_allwhite_,1510,0.31190269331016507
770,2450,filledg_allwhite_,1610,0.3142857142857143
818,2602,filledg_allwhite_,1710,0.3143735588009224
862,2758,filledg_allwhite_,1810,0.312545322697607
912,2908,filledg_allwhite_,1910,0.31361760660247595
957,3063,filledg_allwhite_,2010,0.31243878550440746
1010,3210,filledg_allwhite_,2110,0.3146417445482866
1069,3351,filledg_allwhite_,2210,0.31900925096985977
1125,3495,filledg_allwhite_,2310,0.3218884120171674
1171,3649,filledg_allwhite_,2410,0.32090983831186626
1236,3784,filledg_allwhite_,2510,0.3266384778012685
1295,3925,filledg_allwhite_,2610,0.32993630573248406
1347,4073,filledg_allwhite_,2710,0.3307144610851952
1403,4217,filledg_allwhite_,2810,0.3327009722551577
1457,4363,filledg_allwhite_,2910,0.33394453357781345
1510,4510,filledg_allwhite_,3010,0.3348115299334812
1569,4651,filledg_allwhite_,3110,0.3373468071382498
1625,4795,filledg_allwhite_,3210,0.33889468196037537
1695,4925,filledg_allwhite_,3310,0.34416243654822337
1755,5065,filledg_allwhite_,3410,0.3464955577492596
1806,5214,filledg_allwhite_,3510,0.34637514384349827
1861,5359,filledg_allwhite_,3610,0.34726628102257884
1917,5503,filledg_allwhite_,3710,0.34835544248591677
1975,5645,filledg_allwhite_,3810,0.34986713906111605
2042,5778,filledg_allwhite_,3910,0.35340948425060575
2093,5927,filledg_allwhite_,4010,0.3531297452336764
2144,6076,filledg_allwhite_,4110,0.35286372613561556
2199,6221,filledg_allwhite_,4210,0.3534801478861919
2245,6375,filledg_allwhite_,4310,0.35215686274509805
2295,6525,filledg_allwhite_,4410,0.35172413793103446
2347,6673,filledg_allwhite_,4510,0.3517158699235726
2399,6821,filledg_allwhite_,4610,0.3517079607095734
2452,6968,filledg_allwhite_,4710,0.351894374282434
2504,7116,filledg_allwhite_,4810,0.3518830803822372
2570,7250,filledg_allwhite_,4910,0.3544827586206897
