size intersection,size union,state,k,mean JI
0,20,filledg_allfemale_,10,0.0
17,203,filledg_allfemale_,110,0.08374384236453201
56,364,filledg_allfemale_,210,0.15384615384615385
83,537,filledg_allfemale_,310,0.15456238361266295
114,706,filledg_allfemale_,410,0.16147308781869688
141,879,filledg_allfemale_,510,0.16040955631399317
163,1057,filledg_allfemale_,610,0.15421002838221382
189,1231,filledg_allfemale_,710,0.15353371242891958
221,1399,filledg_allfemale_,810,0.1579699785561115
245,1575,filledg_allfemale_,910,0.15555555555555556
272,1748,filledg_allfemale_,1010,0.15560640732265446
306,1914,filledg_allfemale_,1110,0.15987460815047022
332,2088,filledg_allfemale_,1210,0.15900383141762453
369,2251,filledg_allfemale_,1310,0.16392714349178142
393,2427,filledg_allfemale_,1410,0.1619283065512979
424,2596,filledg_allfemale_,1510,0.1633281972265023
462,2758,filledg_allfemale_,1610,0.16751269035532995
497,2923,filledg_allfemale_,1710,0.17003079028395485
541,3079,filledg_allfemale_,1810,0.17570639818122766
575,3245,filledg_allfemale_,1910,0.17719568567026195
613,3407,filledg_allfemale_,2010,0.17992368652773702
640,3580,filledg_allfemale_,2110,0.1787709497206704
671,3749,filledg_allfemale_,2210,0.17898106161643104
702,3918,filledg_allfemale_,2310,0.17917304747320062
731,4089,filledg_allfemale_,2410,0.17877231596967474
761,4259,filledg_allfemale_,2510,0.17868044141817327
786,4434,filledg_allfemale_,2610,0.17726657645466848
813,4607,filledg_allfemale_,2710,0.17647058823529413
846,4774,filledg_allfemale_,2810,0.17720988688730624
872,4948,filledg_allfemale_,2910,0.17623282134195634
900,5120,filledg_allfemale_,3010,0.17578125
918,5302,filledg_allfemale_,3110,0.17314221048660883
945,5475,filledg_allfemale_,3210,0.1726027397260274
981,5639,filledg_allfemale_,3310,0.17396701542826742
1006,5814,filledg_allfemale_,3410,0.17303061575507395
1041,5979,filledg_allfemale_,3510,0.1741093828399398
1061,6159,filledg_allfemale_,3610,0.17226822536125994
1091,6329,filledg_allfemale_,3710,0.17238110285985148
1125,6495,filledg_allfemale_,3810,0.17321016166281755
1154,6666,filledg_allfemale_,3910,0.17311731173117312
1178,6842,filledg_allfemale_,4010,0.17217187956737795
1209,7011,filledg_allfemale_,4110,0.17244330338040223
1245,7175,filledg_allfemale_,4210,0.1735191637630662
1272,7348,filledg_allfemale_,4310,0.17310832879695154
1304,7516,filledg_allfemale_,4410,0.1734965407131453
1334,7686,filledg_allfemale_,4510,0.17356232110330472
1358,7862,filledg_allfemale_,4610,0.1727295853472399
1380,8040,filledg_allfemale_,4710,0.17164179104477612
1414,8206,filledg_allfemale_,4810,0.17231294174993908
1446,8374,filledg_allfemale_,4910,0.17267733460711726
