size intersection,size union,state,k,mean JI
5,15,filledg_alllower_,10,0.3333333333333333
49,171,filledg_alllower_,110,0.28654970760233917
91,329,filledg_alllower_,210,0.2765957446808511
113,507,filledg_alllower_,310,0.22287968441814596
144,676,filledg_alllower_,410,0.21301775147928995
187,833,filledg_alllower_,510,0.22448979591836735
219,1001,filledg_alllower_,610,0.21878121878121878
255,1165,filledg_alllower_,710,0.21888412017167383
290,1330,filledg_alllower_,810,0.21804511278195488
326,1494,filledg_alllower_,910,0.2182061579651941
356,1664,filledg_alllower_,1010,0.21394230769230768
387,1833,filledg_alllower_,1110,0.21112929623567922
416,2004,filledg_alllower_,1210,0.20758483033932135
442,2178,filledg_alllower_,1310,0.20293847566574838
473,2347,filledg_alllower_,1410,0.20153387302939924
493,2527,filledg_alllower_,1510,0.19509299564701227
530,2690,filledg_alllower_,1610,0.1970260223048327
555,2865,filledg_alllower_,1710,0.193717277486911
589,3031,filledg_alllower_,1810,0.19432530517980864
606,3214,filledg_alllower_,1910,0.18855009334163036
635,3385,filledg_alllower_,2010,0.18759231905465287
657,3563,filledg_alllower_,2110,0.18439517260735336
678,3742,filledg_alllower_,2210,0.1811865312667023
707,3913,filledg_alllower_,2310,0.1806797853309481
732,4088,filledg_alllower_,2410,0.17906066536203522
754,4266,filledg_alllower_,2510,0.17674636661978435
784,4436,filledg_alllower_,2610,0.17673579801623085
819,4601,filledg_alllower_,2710,0.17800478156922409
842,4778,filledg_alllower_,2810,0.17622436165759733
868,4952,filledg_alllower_,2910,0.1752827140549273
893,5127,filledg_alllower_,3010,0.1741759313438658
916,5304,filledg_alllower_,3110,0.1726998491704374
935,5485,filledg_alllower_,3210,0.17046490428441202
955,5665,filledg_alllower_,3310,0.16857899382171226
977,5843,filledg_alllower_,3410,0.16720862570597295
999,6021,filledg_alllower_,3510,0.16591928251121077
1019,6201,filledg_alllower_,3610,0.1643283341396549
1041,6379,filledg_alllower_,3710,0.16319172284057062
1057,6563,filledg_alllower_,3810,0.16105439585555387
1075,6745,filledg_alllower_,3910,0.15937731653076354
1107,6913,filledg_alllower_,4010,0.16013308259800377
1128,7092,filledg_alllower_,4110,0.15905245346869712
1146,7274,filledg_alllower_,4210,0.15754742919989
1170,7450,filledg_alllower_,4310,0.15704697986577182
1190,7630,filledg_alllower_,4410,0.1559633027522936
1221,7799,filledg_alllower_,4510,0.15655853314527504
1240,7980,filledg_alllower_,4610,0.15538847117794485
1260,8160,filledg_alllower_,4710,0.15441176470588236
1283,8337,filledg_alllower_,4810,0.15389228739354685
1304,8516,filledg_alllower_,4910,0.15312353217472993
