size intersection,size union,state,k,mean JI
6,14,filledg_alllower_,10,0.42857142857142855
30,190,filledg_alllower_,110,0.15789473684210525
61,359,filledg_alllower_,210,0.16991643454038996
83,537,filledg_alllower_,310,0.15456238361266295
106,714,filledg_alllower_,410,0.1484593837535014
139,881,filledg_alllower_,510,0.15777525539160045
166,1054,filledg_alllower_,610,0.15749525616698293
194,1226,filledg_alllower_,710,0.15823817292006526
229,1391,filledg_alllower_,810,0.16462976276060387
266,1554,filledg_alllower_,910,0.17117117117117117
298,1722,filledg_alllower_,1010,0.17305458768873402
323,1897,filledg_alllower_,1110,0.17026884554559832
348,2072,filledg_alllower_,1210,0.16795366795366795
372,2248,filledg_alllower_,1310,0.16548042704626334
404,2416,filledg_alllower_,1410,0.1672185430463576
433,2587,filledg_alllower_,1510,0.1673753382296096
463,2757,filledg_alllower_,1610,0.16793616249546608
490,2930,filledg_alllower_,1710,0.16723549488054607
525,3095,filledg_alllower_,1810,0.16962843295638125
568,3252,filledg_alllower_,1910,0.17466174661746617
610,3410,filledg_alllower_,2010,0.17888563049853373
643,3577,filledg_alllower_,2110,0.17975957506290188
681,3739,filledg_alllower_,2210,0.1821342604974592
727,3893,filledg_alllower_,2310,0.18674544053429232
766,4054,filledg_alllower_,2410,0.18894918598914653
801,4219,filledg_alllower_,2510,0.1898554159753496
837,4383,filledg_alllower_,2610,0.19096509240246407
877,4543,filledg_alllower_,2710,0.19304424389170152
912,4708,filledg_alllower_,2810,0.1937128292268479
952,4868,filledg_alllower_,2910,0.19556285949055052
983,5037,filledg_alllower_,3010,0.19515584673416717
1015,5205,filledg_alllower_,3110,0.19500480307396734
1040,5380,filledg_alllower_,3210,0.19330855018587362
1073,5547,filledg_alllower_,3310,0.19343789435731026
1108,5712,filledg_alllower_,3410,0.19397759103641457
1137,5883,filledg_alllower_,3510,0.19326874043855177
1180,6040,filledg_alllower_,3610,0.19536423841059603
1219,6201,filledg_alllower_,3710,0.19658119658119658
1256,6364,filledg_alllower_,3810,0.19736015084852293
1288,6532,filledg_alllower_,3910,0.19718309859154928
1321,6699,filledg_alllower_,4010,0.19719361098671442
1360,6860,filledg_alllower_,4110,0.19825072886297376
1398,7022,filledg_alllower_,4210,0.19908857875249217
1430,7190,filledg_alllower_,4310,0.19888734353268428
1460,7360,filledg_alllower_,4410,0.1983695652173913
1494,7526,filledg_alllower_,4510,0.19851182567100717
1544,7676,filledg_alllower_,4610,0.20114643043251693
1575,7845,filledg_alllower_,4710,0.20076481835564053
1604,8016,filledg_alllower_,4810,0.2000998003992016
1648,8172,filledg_alllower_,4910,0.20166421928536465
