size intersection,size union,state,k,mean JI
0,20,filledg_allasian_,10,0.0
4,216,filledg_allasian_,110,0.018518518518518517
11,409,filledg_allasian_,210,0.02689486552567237
18,602,filledg_allasian_,310,0.029900332225913623
27,793,filledg_allasian_,410,0.034047919293820936
39,981,filledg_allasian_,510,0.039755351681957186
50,1170,filledg_allasian_,610,0.042735042735042736
75,1345,filledg_allasian_,710,0.055762081784386616
92,1528,filledg_allasian_,810,0.060209424083769635
108,1712,filledg_allasian_,910,0.0630841121495327
124,1896,filledg_allasian_,1010,0.06540084388185655
149,2071,filledg_allasian_,1110,0.07194591984548528
169,2251,filledg_allasian_,1210,0.07507774322523322
190,2430,filledg_allasian_,1310,0.07818930041152264
218,2602,filledg_allasian_,1410,0.08378170637970792
247,2773,filledg_allasian_,1510,0.08907320591417238
265,2955,filledg_allasian_,1610,0.08967851099830795
288,3132,filledg_allasian_,1710,0.09195402298850575
311,3309,filledg_allasian_,1810,0.09398609851919008
331,3489,filledg_allasian_,1910,0.09486959014044138
353,3667,filledg_allasian_,2010,0.09626397600218162
372,3848,filledg_allasian_,2110,0.09667359667359668
396,4024,filledg_allasian_,2210,0.09840954274353876
421,4199,filledg_allasian_,2310,0.10026196713503215
451,4369,filledg_allasian_,2410,0.10322728313115129
480,4540,filledg_allasian_,2510,0.10572687224669604
498,4722,filledg_allasian_,2610,0.10546378653113088
518,4902,filledg_allasian_,2710,0.10567115463076296
546,5074,filledg_allasian_,2810,0.10760741032715807
566,5254,filledg_allasian_,2910,0.10772744575561477
592,5428,filledg_allasian_,3010,0.10906411201179071
620,5600,filledg_allasian_,3110,0.11071428571428571
649,5771,filledg_allasian_,3210,0.11245884595390747
674,5946,filledg_allasian_,3310,0.11335351496804574
706,6114,filledg_allasian_,3410,0.11547268563951586
736,6284,filledg_allasian_,3510,0.11712285168682368
763,6457,filledg_allasian_,3610,0.1181663311135202
793,6627,filledg_allasian_,3710,0.11966198883355968
836,6784,filledg_allasian_,3810,0.12323113207547169
871,6949,filledg_allasian_,3910,0.12534177579507844
903,7117,filledg_allasian_,4010,0.12687930307713924
936,7284,filledg_allasian_,4110,0.128500823723229
967,7453,filledg_allasian_,4210,0.12974641084127198
997,7623,filledg_allasian_,4310,0.13078840351567625
1015,7805,filledg_allasian_,4410,0.13004484304932734
1041,7979,filledg_allasian_,4510,0.13046747712745957
1079,8141,filledg_allasian_,4610,0.13253900012283504
1105,8315,filledg_allasian_,4710,0.13289236319903788
1127,8493,filledg_allasian_,4810,0.13269751560108325
1156,8664,filledg_allasian_,4910,0.13342566943674977
