size intersection,size union,state,k,mean JI
6,14,filledg_allblack or african american_,10,0.42857142857142855
69,151,filledg_allblack or african american_,110,0.45695364238410596
126,294,filledg_allblack or african american_,210,0.42857142857142855
200,420,filledg_allblack or african american_,310,0.47619047619047616
272,548,filledg_allblack or african american_,410,0.49635036496350365
320,700,filledg_allblack or african american_,510,0.45714285714285713
369,851,filledg_allblack or african american_,610,0.4336075205640423
422,998,filledg_allblack or african american_,710,0.4228456913827655
475,1145,filledg_allblack or african american_,810,0.4148471615720524
539,1281,filledg_allblack or african american_,910,0.4207650273224044
601,1419,filledg_allblack or african american_,1010,0.42353770260747003
655,1565,filledg_allblack or african american_,1110,0.4185303514376997
705,1715,filledg_allblack or african american_,1210,0.4110787172011662
760,1860,filledg_allblack or african american_,1310,0.40860215053763443
821,1999,filledg_allblack or african american_,1410,0.4107053526763382
861,2159,filledg_allblack or african american_,1510,0.3987957387679481
913,2307,filledg_allblack or african american_,1610,0.3957520589510186
967,2453,filledg_allblack or african american_,1710,0.39421116999592337
1036,2584,filledg_allblack or african american_,1810,0.40092879256965946
1102,2718,filledg_allblack or african american_,1910,0.40544518027961735
1160,2860,filledg_allblack or african american_,2010,0.40559440559440557
1205,3015,filledg_allblack or african american_,2110,0.3996683250414594
1248,3172,filledg_allblack or african american_,2210,0.39344262295081966
1292,3328,filledg_allblack or african american_,2310,0.38822115384615385
1345,3475,filledg_allblack or african american_,2410,0.38705035971223023
1399,3621,filledg_allblack or african american_,2510,0.3863573598453466
1440,3780,filledg_allblack or african american_,2610,0.38095238095238093
1486,3934,filledg_allblack or african american_,2710,0.3777325876970005
1535,4085,filledg_allblack or african american_,2810,0.37576499388004897
1585,4235,filledg_allblack or african american_,2910,0.3742621015348288
1630,4390,filledg_allblack or african american_,3010,0.3712984054669704
1682,4538,filledg_allblack or african american_,3110,0.37064786249449094
1733,4687,filledg_allblack or african american_,3210,0.3697461062513335
1769,4851,filledg_allblack or african american_,3310,0.3646670789527932
1814,5006,filledg_allblack or african american_,3410,0.362365161805833
1850,5170,filledg_allblack or african american_,3510,0.3578336557059961
1894,5326,filledg_allblack or african american_,3610,0.35561396920766053
1940,5480,filledg_allblack or african american_,3710,0.354014598540146
1977,5643,filledg_allblack or african american_,3810,0.3503455608718767
2018,5802,filledg_allblack or african american_,3910,0.3478110996208204
2053,5967,filledg_allblack or african american_,4010,0.3440589911178146
2097,6123,filledg_allblack or african american_,4110,0.34247917687408136
2147,6273,filledg_allblack or african american_,4210,0.3422604814283437
2189,6431,filledg_allblack or african american_,4310,0.34038252215829573
2225,6595,filledg_allblack or african american_,4410,0.3373768006065201
2266,6754,filledg_allblack or african american_,4510,0.3355048859934853
2313,6907,filledg_allblack or african american_,4610,0.33487766034457794
2359,7061,filledg_allblack or african american_,4710,0.334088655997734
2397,7223,filledg_allblack or african american_,4810,0.3318565692925377
2440,7380,filledg_allblack or african american_,4910,0.33062330623306235
