size intersection,size union,state,k,mean JI
4,16,filledg_allblack or african american_,10,0.25
26,194,filledg_allblack or african american_,110,0.13402061855670103
54,366,filledg_allblack or african american_,210,0.14754098360655737
73,547,filledg_allblack or african american_,310,0.13345521023765997
95,725,filledg_allblack or african american_,410,0.1310344827586207
110,910,filledg_allblack or african american_,510,0.12087912087912088
129,1091,filledg_allblack or african american_,610,0.11824014665444546
152,1268,filledg_allblack or african american_,710,0.11987381703470032
169,1451,filledg_allblack or african american_,810,0.11647139903514818
188,1632,filledg_allblack or african american_,910,0.11519607843137254
211,1809,filledg_allblack or african american_,1010,0.11663902708678828
232,1988,filledg_allblack or african american_,1110,0.11670020120724346
255,2165,filledg_allblack or african american_,1210,0.11778290993071594
278,2342,filledg_allblack or african american_,1310,0.11870196413321947
299,2521,filledg_allblack or african american_,1410,0.11860372867909559
319,2701,filledg_allblack or african american_,1510,0.11810440577563865
344,2876,filledg_allblack or african american_,1610,0.11961057023643949
363,3057,filledg_allblack or african american_,1710,0.11874386653581943
393,3227,filledg_allblack or african american_,1810,0.12178493957235823
418,3402,filledg_allblack or african american_,1910,0.12286890064667842
441,3579,filledg_allblack or african american_,2010,0.12321877619446772
466,3754,filledg_allblack or african american_,2110,0.1241342567927544
487,3933,filledg_allblack or african american_,2210,0.12382405288583778
502,4118,filledg_allblack or african american_,2310,0.12190383681398738
527,4293,filledg_allblack or african american_,2410,0.12275797810389005
545,4475,filledg_allblack or african american_,2510,0.1217877094972067
559,4661,filledg_allblack or african american_,2610,0.11993134520489165
577,4843,filledg_allblack or african american_,2710,0.11914102828825109
596,5024,filledg_allblack or african american_,2810,0.11863057324840764
610,5210,filledg_allblack or african american_,2910,0.11708253358925144
627,5393,filledg_allblack or african american_,3010,0.11626182087891712
645,5575,filledg_allblack or african american_,3110,0.11569506726457399
670,5750,filledg_allblack or african american_,3210,0.11652173913043479
691,5929,filledg_allblack or african american_,3310,0.1165457918704672
705,6115,filledg_allblack or african american_,3410,0.11529026982829109
717,6303,filledg_allblack or african american_,3510,0.11375535459305093
741,6479,filledg_allblack or african american_,3610,0.11436950146627566
764,6656,filledg_allblack or african american_,3710,0.11478365384615384
783,6837,filledg_allblack or african american_,3810,0.11452391399736726
797,7023,filledg_allblack or african american_,3910,0.11348426598319807
812,7208,filledg_allblack or african american_,4010,0.11265260821309656
827,7393,filledg_allblack or african american_,4110,0.1118625727039091
839,7581,filledg_allblack or african american_,4210,0.11067141538055665
855,7765,filledg_allblack or african american_,4310,0.11010946555054733
881,7939,filledg_allblack or african american_,4410,0.110971155057312
899,8121,filledg_allblack or african american_,4510,0.11070065262898658
917,8303,filledg_allblack or african american_,4610,0.11044200891244128
944,8476,filledg_allblack or african american_,4710,0.11137328928739972
970,8650,filledg_allblack or african american_,4810,0.11213872832369942
981,8839,filledg_allblack or african american_,4910,0.11098540558886752
