size intersection,size union,state,k,mean JI
6,14,filledg_allfemale_,10,0.42857142857142855
64,156,filledg_allfemale_,110,0.41025641025641024
139,281,filledg_allfemale_,210,0.49466192170818507
219,401,filledg_allfemale_,310,0.5461346633416458
295,525,filledg_allfemale_,410,0.5619047619047619
369,651,filledg_allfemale_,510,0.5668202764976958
444,776,filledg_allfemale_,610,0.5721649484536082
522,898,filledg_allfemale_,710,0.5812917594654788
599,1021,filledg_allfemale_,810,0.5866797257590598
674,1146,filledg_allfemale_,910,0.5881326352530541
753,1267,filledg_allfemale_,1010,0.5943172849250198
841,1379,filledg_allfemale_,1110,0.6098622189992748
918,1502,filledg_allfemale_,1210,0.611185086551265
989,1631,filledg_allfemale_,1310,0.6063764561618639
1058,1762,filledg_allfemale_,1410,0.6004540295119183
1136,1884,filledg_allfemale_,1510,0.6029723991507431
1209,2011,filledg_allfemale_,1610,0.601193436101442
1289,2131,filledg_allfemale_,1710,0.6048803378695448
1360,2260,filledg_allfemale_,1810,0.6017699115044248
1436,2384,filledg_allfemale_,1910,0.6023489932885906
1502,2518,filledg_allfemale_,2010,0.596505162827641
1578,2642,filledg_allfemale_,2110,0.5972747918243755
1656,2764,filledg_allfemale_,2210,0.5991316931982634
1740,2880,filledg_allfemale_,2310,0.6041666666666666
1808,3012,filledg_allfemale_,2410,0.600265604249668
1882,3138,filledg_allfemale_,2510,0.5997450605481198
1965,3255,filledg_allfemale_,2610,0.6036866359447005
2036,3384,filledg_allfemale_,2710,0.6016548463356974
2109,3511,filledg_allfemale_,2810,0.6006835659356309
2187,3633,filledg_allfemale_,2910,0.601981833195706
2267,3753,filledg_allfemale_,3010,0.6040500932587264
2338,3882,filledg_allfemale_,3110,0.6022668727460072
2428,3992,filledg_allfemale_,3210,0.6082164328657315
2498,4122,filledg_allfemale_,3310,0.6060164968461912
2566,4254,filledg_allfemale_,3410,0.6031969910672308
2660,4360,filledg_allfemale_,3510,0.6100917431192661
2728,4492,filledg_allfemale_,3610,0.6073018699910953
2810,4610,filledg_allfemale_,3710,0.6095444685466378
2883,4737,filledg_allfemale_,3810,0.6086130462317922
2962,4858,filledg_allfemale_,3910,0.6097159324825031
3044,4976,filledg_allfemale_,4010,0.6117363344051447
3121,5099,filledg_allfemale_,4110,0.6120808001568935
3208,5212,filledg_allfemale_,4210,0.6155026861089793
3290,5330,filledg_allfemale_,4310,0.6172607879924953
3363,5457,filledg_allfemale_,4410,0.6162726772952172
3430,5590,filledg_allfemale_,4510,0.6135957066189625
3506,5714,filledg_allfemale_,4610,0.6135806790339517
3591,5829,filledg_allfemale_,4710,0.6160576428203809
3676,5944,filledg_allfemale_,4810,0.6184387617765814
3759,6061,filledg_allfemale_,4910,0.6201946873453226
