size intersection,size union,state,k,mean JI
8,12,filledg_allupper_,10,0.6666666666666666
78,142,filledg_allupper_,110,0.5492957746478874
158,262,filledg_allupper_,210,0.6030534351145038
221,399,filledg_allupper_,310,0.5538847117794486
305,515,filledg_allupper_,410,0.5922330097087378
388,632,filledg_allupper_,510,0.6139240506329114
453,767,filledg_allupper_,610,0.590612777053455
535,885,filledg_allupper_,710,0.6045197740112994
601,1019,filledg_allupper_,810,0.5897939156035329
679,1141,filledg_allupper_,910,0.5950920245398773
762,1258,filledg_allupper_,1010,0.6057233704292527
836,1384,filledg_allupper_,1110,0.6040462427745664
911,1509,filledg_allupper_,1210,0.6037110669317429
993,1627,filledg_allupper_,1310,0.6103257529194838
1075,1745,filledg_allupper_,1410,0.6160458452722063
1171,1849,filledg_allupper_,1510,0.6333153055705787
1254,1966,filledg_allupper_,1610,0.6378433367243134
1328,2092,filledg_allupper_,1710,0.6347992351816444
1402,2218,filledg_allupper_,1810,0.6321009918845807
1470,2350,filledg_allupper_,1910,0.625531914893617
1543,2477,filledg_allupper_,2010,0.6229309648768672
1619,2601,filledg_allupper_,2110,0.6224529027297193
1691,2729,filledg_allupper_,2210,0.6196408941004031
1759,2861,filledg_allupper_,2310,0.6148199930094372
1830,2990,filledg_allupper_,2410,0.6120401337792643
1898,3122,filledg_allupper_,2510,0.6079436258808456
1980,3240,filledg_allupper_,2610,0.6111111111111112
2063,3357,filledg_allupper_,2710,0.6145367887995233
2129,3491,filledg_allupper_,2810,0.6098539100544257
2202,3618,filledg_allupper_,2910,0.6086235489220564
2272,3748,filledg_allupper_,3010,0.6061899679829242
2353,3867,filledg_allupper_,3110,0.6084820274114301
2430,3990,filledg_allupper_,3210,0.6090225563909775
2510,4110,filledg_allupper_,3310,0.610705596107056
2580,4240,filledg_allupper_,3410,0.6084905660377359
2654,4366,filledg_allupper_,3510,0.6078790655061842
2735,4485,filledg_allupper_,3610,0.6098104793756968
2816,4604,filledg_allupper_,3710,0.6116420503909644
2901,4719,filledg_allupper_,3810,0.6147488874761602
2970,4850,filledg_allupper_,3910,0.6123711340206186
3045,4975,filledg_allupper_,4010,0.6120603015075377
3103,5117,filledg_allupper_,4110,0.6064100058628102
3186,5234,filledg_allupper_,4210,0.6087122659533817
3265,5355,filledg_allupper_,4310,0.6097105508870215
3338,5482,filledg_allupper_,4410,0.6089018606348048
3416,5604,filledg_allupper_,4510,0.609564596716631
3492,5728,filledg_allupper_,4610,0.6096368715083799
3574,5846,filledg_allupper_,4710,0.6113581936366747
3651,5969,filledg_allupper_,4810,0.6116602445970849
3725,6095,filledg_allupper_,4910,0.6111566858080394
