size intersection,size union,state,k,mean JI
0,20,filledg_allasian_,10,0.0
47,173,filledg_allasian_,110,0.27167630057803466
100,320,filledg_allasian_,210,0.3125
148,472,filledg_allasian_,310,0.3135593220338983
205,615,filledg_allasian_,410,0.3333333333333333
265,755,filledg_allasian_,510,0.3509933774834437
325,895,filledg_allasian_,610,0.36312849162011174
381,1039,filledg_allasian_,710,0.3666987487969201
434,1186,filledg_allasian_,810,0.36593591905564926
482,1338,filledg_allasian_,910,0.3602391629297459
531,1489,filledg_allasian_,1010,0.35661517797179315
597,1623,filledg_allasian_,1110,0.3678373382624769
653,1767,filledg_allasian_,1210,0.36955291454442557
708,1912,filledg_allasian_,1310,0.3702928870292887
759,2061,filledg_allasian_,1410,0.3682678311499272
821,2199,filledg_allasian_,1510,0.37335152341973626
886,2334,filledg_allasian_,1610,0.3796058269065981
953,2467,filledg_allasian_,1710,0.3862991487636806
1006,2614,filledg_allasian_,1810,0.38485080336648814
1067,2753,filledg_allasian_,1910,0.38757718852161277
1130,2890,filledg_allasian_,2010,0.39100346020761245
1194,3026,filledg_allasian_,2110,0.39458030403172506
1245,3175,filledg_allasian_,2210,0.3921259842519685
1298,3322,filledg_allasian_,2310,0.39072847682119205
1362,3458,filledg_allasian_,2410,0.3938692886061307
1426,3594,filledg_allasian_,2510,0.39677239844184753
1495,3725,filledg_allasian_,2610,0.40134228187919463
1555,3865,filledg_allasian_,2710,0.4023285899094437
1611,4009,filledg_allasian_,2810,0.4018458468445997
1680,4140,filledg_allasian_,2910,0.4057971014492754
1737,4283,filledg_allasian_,3010,0.4055568526733598
1795,4425,filledg_allasian_,3110,0.4056497175141243
1850,4570,filledg_allasian_,3210,0.4048140043763676
1906,4714,filledg_allasian_,3310,0.4043275350021213
1976,4844,filledg_allasian_,3410,0.4079273327828241
2032,4988,filledg_allasian_,3510,0.4073777064955894
2093,5127,filledg_allasian_,3610,0.40823093426955337
2151,5269,filledg_allasian_,3710,0.4082368570886316
2209,5411,filledg_allasian_,3810,0.4082424690445389
2269,5551,filledg_allasian_,3910,0.4087551792469825
2330,5690,filledg_allasian_,4010,0.4094903339191564
2389,5831,filledg_allasian_,4110,0.40970673983879263
2447,5973,filledg_allasian_,4210,0.40967687929013896
2518,6102,filledg_allasian_,4310,0.41265158964274007
2576,6244,filledg_allasian_,4410,0.4125560538116592
2644,6376,filledg_allasian_,4510,0.41468005018820575
2705,6515,filledg_allasian_,4610,0.4151957022256332
2771,6649,filledg_allasian_,4710,0.4167543991577681
2831,6789,filledg_allasian_,4810,0.4169980851377228
2898,6922,filledg_allasian_,4910,0.41866512568621783
