size intersection,size union,state,k,mean JI
2,18,filledg_allupper_,10,0.1111111111111111
29,191,filledg_allupper_,110,0.1518324607329843
64,356,filledg_allupper_,210,0.1797752808988764
102,518,filledg_allupper_,310,0.1969111969111969
142,678,filledg_allupper_,410,0.20943952802359883
181,839,filledg_allupper_,510,0.21573301549463647
229,991,filledg_allupper_,610,0.23107971745711403
263,1157,filledg_allupper_,710,0.22731201382886776
316,1304,filledg_allupper_,810,0.24233128834355827
360,1460,filledg_allupper_,910,0.2465753424657534
421,1599,filledg_allupper_,1010,0.2632895559724828
473,1747,filledg_allupper_,1110,0.2707498568975386
526,1894,filledg_allupper_,1210,0.27771911298838436
592,2028,filledg_allupper_,1310,0.29191321499013806
644,2176,filledg_allupper_,1410,0.2959558823529412
695,2325,filledg_allupper_,1510,0.2989247311827957
757,2463,filledg_allupper_,1610,0.3073487616727568
822,2598,filledg_allupper_,1710,0.3163972286374134
879,2741,filledg_allupper_,1810,0.32068588106530466
937,2883,filledg_allupper_,1910,0.3250086715227194
988,3032,filledg_allupper_,2010,0.3258575197889182
1050,3170,filledg_allupper_,2110,0.3312302839116719
1109,3311,filledg_allupper_,2210,0.33494412564180004
1165,3455,filledg_allupper_,2310,0.33719247467438496
1229,3591,filledg_allupper_,2410,0.34224450013923696
1278,3742,filledg_allupper_,2510,0.34152859433458044
1343,3877,filledg_allupper_,2610,0.3464018571060098
1411,4009,filledg_allupper_,2710,0.35195809428785235
1464,4156,filledg_allupper_,2810,0.35226179018286813
1517,4303,filledg_allupper_,2910,0.35254473623053684
1581,4439,filledg_allupper_,3010,0.3561612975895472
1623,4597,filledg_allupper_,3110,0.35305634109201656
1681,4739,filledg_allupper_,3210,0.35471618484912426
1728,4892,filledg_allupper_,3310,0.35322976287816843
1788,5032,filledg_allupper_,3410,0.35532591414944353
1843,5177,filledg_allupper_,3510,0.35599768205524435
1904,5316,filledg_allupper_,3610,0.3581640331075997
1956,5464,filledg_allupper_,3710,0.3579795021961933
2027,5593,filledg_allupper_,3810,0.36241730734847133
2084,5736,filledg_allupper_,3910,0.3633193863319386
2142,5878,filledg_allupper_,4010,0.36440966315073153
2197,6023,filledg_allupper_,4110,0.3647683878465881
2262,6158,filledg_allupper_,4210,0.3673270542383891
2308,6312,filledg_allupper_,4310,0.3656527249683143
2362,6458,filledg_allupper_,4410,0.3657479095695262
2426,6594,filledg_allupper_,4510,0.3679102214134061
2489,6731,filledg_allupper_,4610,0.3697816074877433
2545,6875,filledg_allupper_,4710,0.37018181818181817
2611,7009,filledg_allupper_,4810,0.37252104437152234
2670,7150,filledg_allupper_,4910,0.3734265734265734
