size intersection,size union,state,k,mean JI
0,20,filledg_allupper_,10,0.0
17,203,filledg_allupper_,110,0.08374384236453201
45,375,filledg_allupper_,210,0.12
80,540,filledg_allupper_,310,0.14814814814814814
136,684,filledg_allupper_,410,0.19883040935672514
189,831,filledg_allupper_,510,0.22743682310469315
241,979,filledg_allupper_,610,0.24616956077630234
300,1120,filledg_allupper_,710,0.26785714285714285
346,1274,filledg_allupper_,810,0.271585557299843
399,1421,filledg_allupper_,910,0.28078817733990147
468,1552,filledg_allupper_,1010,0.3015463917525773
523,1697,filledg_allupper_,1110,0.30819092516205066
585,1835,filledg_allupper_,1210,0.3188010899182561
652,1968,filledg_allupper_,1310,0.3313008130081301
718,2102,filledg_allupper_,1410,0.34157944814462415
792,2228,filledg_allupper_,1510,0.35547576301615796
852,2368,filledg_allupper_,1610,0.3597972972972973
921,2499,filledg_allupper_,1710,0.368547418967587
975,2645,filledg_allupper_,1810,0.3686200378071834
1041,2779,filledg_allupper_,1910,0.37459517812162646
1117,2903,filledg_allupper_,2010,0.3847743713399931
1180,3040,filledg_allupper_,2110,0.3881578947368421
1253,3167,filledg_allupper_,2210,0.39564256394063785
1308,3312,filledg_allupper_,2310,0.39492753623188404
1363,3457,filledg_allupper_,2410,0.39427249059878505
1423,3597,filledg_allupper_,2510,0.3956074506533222
1498,3722,filledg_allupper_,2610,0.40247178936055883
1578,3842,filledg_allupper_,2710,0.41072358146798543
1640,3980,filledg_allupper_,2810,0.4120603015075377
1714,4106,filledg_allupper_,2910,0.41743789576229906
1783,4237,filledg_allupper_,3010,0.42081661552985605
1863,4357,filledg_allupper_,3110,0.4275877897635988
1927,4493,filledg_allupper_,3210,0.42888938348542177
1994,4626,filledg_allupper_,3310,0.4310419368785128
2062,4758,filledg_allupper_,3410,0.4333753678015973
2137,4883,filledg_allupper_,3510,0.4376407945934876
2215,5005,filledg_allupper_,3610,0.44255744255744256
2285,5135,filledg_allupper_,3710,0.44498539435248297
2359,5261,filledg_allupper_,3810,0.4483938414750048
2425,5395,filledg_allupper_,3910,0.4494902687673772
2496,5524,filledg_allupper_,4010,0.4518464880521361
2556,5664,filledg_allupper_,4110,0.451271186440678
2618,5802,filledg_allupper_,4210,0.4512237159600138
2694,5926,filledg_allupper_,4310,0.4546068174147823
2763,6057,filledg_allupper_,4410,0.4561664190193165
2833,6187,filledg_allupper_,4510,0.45789558752222403
2898,6322,filledg_allupper_,4610,0.45839924074659916
2971,6449,filledg_allupper_,4710,0.46069158008993644
3046,6574,filledg_allupper_,4810,0.4633404320048677
3111,6709,filledg_allupper_,4910,0.4637054702638247
