size intersection,size union,state,k,mean JI
5,15,filledg_allmale_,10,0.3333333333333333
77,143,filledg_allmale_,110,0.5384615384615384
156,264,filledg_allmale_,210,0.5909090909090909
237,383,filledg_allmale_,310,0.618798955613577
315,505,filledg_allmale_,410,0.6237623762376238
403,617,filledg_allmale_,510,0.653160453808752
498,722,filledg_allmale_,610,0.6897506925207756
577,843,filledg_allmale_,710,0.6844602609727165
665,955,filledg_allmale_,810,0.6963350785340314
753,1067,filledg_allmale_,910,0.7057169634489222
830,1190,filledg_allmale_,1010,0.6974789915966386
917,1303,filledg_allmale_,1110,0.70376055257099
1000,1420,filledg_allmale_,1210,0.704225352112676
1082,1538,filledg_allmale_,1310,0.7035110533159948
1154,1666,filledg_allmale_,1410,0.6926770708283313
1241,1779,filledg_allmale_,1510,0.6975829117481731
1328,1892,filledg_allmale_,1610,0.7019027484143763
1414,2006,filledg_allmale_,1710,0.7048853439680958
1495,2125,filledg_allmale_,1810,0.7035294117647058
1579,2241,filledg_allmale_,1910,0.7045961624274877
1652,2368,filledg_allmale_,2010,0.6976351351351351
1733,2487,filledg_allmale_,2110,0.6968234821069562
1824,2596,filledg_allmale_,2210,0.7026194144838213
1913,2707,filledg_allmale_,2310,0.7066863686738086
1994,2826,filledg_allmale_,2410,0.7055909412597311
2073,2947,filledg_allmale_,2510,0.7034272141160502
2156,3064,filledg_allmale_,2610,0.7036553524804178
2243,3177,filledg_allmale_,2710,0.706011960969468
2324,3296,filledg_allmale_,2810,0.7050970873786407
2402,3418,filledg_allmale_,2910,0.7027501462843768
2492,3528,filledg_allmale_,3010,0.7063492063492064
2567,3653,filledg_allmale_,3110,0.7027101012866137
2647,3773,filledg_allmale_,3210,0.7015637423800689
2731,3889,filledg_allmale_,3310,0.7022370789406017
2819,4001,filledg_allmale_,3410,0.704573856535866
2897,4123,filledg_allmale_,3510,0.7026437060392918
2986,4234,filledg_allmale_,3610,0.7052432687765706
3056,4364,filledg_allmale_,3710,0.7002749770852429
3139,4481,filledg_allmale_,3810,0.7005132782860969
3225,4595,filledg_allmale_,3910,0.7018498367791077
3310,4710,filledg_allmale_,4010,0.70276008492569
3384,4836,filledg_allmale_,4110,0.6997518610421837
3479,4941,filledg_allmale_,4210,0.7041084800647642
3566,5054,filledg_allmale_,4310,0.7055797388207361
3645,5175,filledg_allmale_,4410,0.7043478260869566
3737,5283,filledg_allmale_,4510,0.707363240583002
3830,5390,filledg_allmale_,4610,0.7105751391465677
3914,5506,filledg_allmale_,4710,0.7108608790410461
3986,5634,filledg_allmale_,4810,0.7074902378416755
4071,5749,filledg_allmale_,4910,0.7081231518524961
