size intersection,size union,state,k,mean JI
6,14,filledg_allmale_,10,0.42857142857142855
83,137,filledg_allmale_,110,0.6058394160583942
158,262,filledg_allmale_,210,0.6030534351145038
239,381,filledg_allmale_,310,0.6272965879265092
307,513,filledg_allmale_,410,0.5984405458089669
374,646,filledg_allmale_,510,0.5789473684210527
450,770,filledg_allmale_,610,0.5844155844155844
543,877,filledg_allmale_,710,0.6191562143671607
634,986,filledg_allmale_,810,0.6430020283975659
714,1106,filledg_allmale_,910,0.6455696202531646
794,1226,filledg_allmale_,1010,0.6476345840130505
877,1343,filledg_allmale_,1110,0.6530156366344005
965,1455,filledg_allmale_,1210,0.6632302405498282
1059,1561,filledg_allmale_,1310,0.6784112748238309
1140,1680,filledg_allmale_,1410,0.6785714285714286
1215,1805,filledg_allmale_,1510,0.6731301939058172
1288,1932,filledg_allmale_,1610,0.6666666666666666
1372,2048,filledg_allmale_,1710,0.669921875
1455,2165,filledg_allmale_,1810,0.6720554272517321
1549,2271,filledg_allmale_,1910,0.6820783795684721
1623,2397,filledg_allmale_,2010,0.6770963704630788
1704,2516,filledg_allmale_,2110,0.6772655007949125
1793,2627,filledg_allmale_,2210,0.6825275980205557
1867,2753,filledg_allmale_,2310,0.6781692698873956
1946,2874,filledg_allmale_,2410,0.6771050800278358
2029,2991,filledg_allmale_,2510,0.6783684386492812
2101,3119,filledg_allmale_,2610,0.6736133376082077
2183,3237,filledg_allmale_,2710,0.6743898671609515
2263,3357,filledg_allmale_,2810,0.6741137920762585
2355,3465,filledg_allmale_,2910,0.6796536796536796
2439,3581,filledg_allmale_,3010,0.6810946662943312
2518,3702,filledg_allmale_,3110,0.6801728795245813
2608,3812,filledg_allmale_,3210,0.6841552990556139
2710,3910,filledg_allmale_,3310,0.6930946291560103
2794,4026,filledg_allmale_,3410,0.6939890710382514
2880,4140,filledg_allmale_,3510,0.6956521739130435
2965,4255,filledg_allmale_,3610,0.6968272620446534
3052,4368,filledg_allmale_,3710,0.6987179487179487
3136,4484,filledg_allmale_,3810,0.6993755575379126
3220,4600,filledg_allmale_,3910,0.7
3293,4727,filledg_allmale_,4010,0.6966363444044849
3375,4845,filledg_allmale_,4110,0.6965944272445821
3458,4962,filledg_allmale_,4210,0.6968964127367997
3545,5075,filledg_allmale_,4310,0.6985221674876847
3622,5198,filledg_allmale_,4410,0.6968064640246249
3698,5322,filledg_allmale_,4510,0.6948515595640736
3795,5425,filledg_allmale_,4610,0.6995391705069124
3891,5529,filledg_allmale_,4710,0.7037438958220293
3964,5656,filledg_allmale_,4810,0.7008486562942009
4040,5780,filledg_allmale_,4910,0.698961937716263
