size intersection,size union,state,k,mean JI
9,11,filledg_allmale_,10,0.8181818181818182
81,139,filledg_allmale_,110,0.5827338129496403
142,278,filledg_allmale_,210,0.5107913669064749
224,396,filledg_allmale_,310,0.5656565656565656
297,523,filledg_allmale_,410,0.5678776290630975
368,652,filledg_allmale_,510,0.5644171779141104
423,797,filledg_allmale_,610,0.5307402760351317
490,930,filledg_allmale_,710,0.5268817204301075
548,1072,filledg_allmale_,810,0.5111940298507462
620,1200,filledg_allmale_,910,0.5166666666666667
685,1335,filledg_allmale_,1010,0.5131086142322098
756,1464,filledg_allmale_,1110,0.5163934426229508
816,1604,filledg_allmale_,1210,0.5087281795511222
883,1737,filledg_allmale_,1310,0.5083477259643063
944,1876,filledg_allmale_,1410,0.5031982942430704
1006,2014,filledg_allmale_,1510,0.49950347567030784
1066,2154,filledg_allmale_,1610,0.4948932219127205
1129,2291,filledg_allmale_,1710,0.4927979048450458
1178,2442,filledg_allmale_,1810,0.4823914823914824
1235,2585,filledg_allmale_,1910,0.47775628626692457
1287,2733,filledg_allmale_,2010,0.47091108671789245
1348,2872,filledg_allmale_,2110,0.46935933147632314
1400,3020,filledg_allmale_,2210,0.46357615894039733
1459,3161,filledg_allmale_,2310,0.4615627965833597
1524,3296,filledg_allmale_,2410,0.46237864077669905
1582,3438,filledg_allmale_,2510,0.46015125072716695
1643,3577,filledg_allmale_,2610,0.4593234554095611
1705,3715,filledg_allmale_,2710,0.458950201884253
1765,3855,filledg_allmale_,2810,0.4578469520103761
1809,4011,filledg_allmale_,2910,0.45100972326103217
1874,4146,filledg_allmale_,3010,0.45200192957067054
1938,4282,filledg_allmale_,3110,0.4525922466137319
1980,4440,filledg_allmale_,3210,0.44594594594594594
2035,4585,filledg_allmale_,3310,0.44383860414394766
2086,4734,filledg_allmale_,3410,0.44064216307562315
2132,4888,filledg_allmale_,3510,0.43617021276595747
2188,5032,filledg_allmale_,3610,0.43481717011128773
2240,5180,filledg_allmale_,3710,0.43243243243243246
2315,5305,filledg_allmale_,3810,0.4363807728557964
2366,5454,filledg_allmale_,3910,0.43381004767143383
2419,5601,filledg_allmale_,4010,0.43188716300660596
2466,5754,filledg_allmale_,4110,0.42857142857142855
2515,5905,filledg_allmale_,4210,0.4259102455546147
2569,6051,filledg_allmale_,4310,0.4245579243100314
2632,6188,filledg_allmale_,4410,0.4253393665158371
2686,6334,filledg_allmale_,4510,0.42406062519734766
2746,6474,filledg_allmale_,4610,0.424158171146123
2796,6624,filledg_allmale_,4710,0.4221014492753623
2844,6776,filledg_allmale_,4810,0.4197166469893743
2897,6923,filledg_allmale_,4910,0.41846020511339016
