size intersection,size union,state,k,mean JI
8,12,filledg_allupper_,10,0.6666666666666666
84,136,filledg_allupper_,110,0.6176470588235294
157,263,filledg_allupper_,210,0.596958174904943
238,382,filledg_allupper_,310,0.6230366492146597
315,505,filledg_allupper_,410,0.6237623762376238
398,622,filledg_allupper_,510,0.639871382636656
486,734,filledg_allupper_,610,0.662125340599455
557,863,filledg_allupper_,710,0.645422943221321
641,979,filledg_allupper_,810,0.6547497446373851
720,1100,filledg_allupper_,910,0.6545454545454545
803,1217,filledg_allupper_,1010,0.6598192276088742
871,1349,filledg_allupper_,1110,0.6456634544106745
960,1460,filledg_allupper_,1210,0.6575342465753424
1045,1575,filledg_allupper_,1310,0.6634920634920635
1122,1698,filledg_allupper_,1410,0.6607773851590106
1190,1830,filledg_allupper_,1510,0.6502732240437158
1274,1946,filledg_allupper_,1610,0.6546762589928058
1352,2068,filledg_allupper_,1710,0.6537717601547389
1432,2188,filledg_allupper_,1810,0.6544789762340036
1520,2300,filledg_allupper_,1910,0.6608695652173913
1596,2424,filledg_allupper_,2010,0.6584158415841584
1686,2534,filledg_allupper_,2110,0.665351223362273
1760,2660,filledg_allupper_,2210,0.6616541353383458
1842,2778,filledg_allupper_,2310,0.6630669546436285
1926,2894,filledg_allupper_,2410,0.6655148583275743
2011,3009,filledg_allupper_,2510,0.6683283482884679
2088,3132,filledg_allupper_,2610,0.6666666666666666
2172,3248,filledg_allupper_,2710,0.6687192118226601
2254,3366,filledg_allupper_,2810,0.6696375519904931
2338,3482,filledg_allupper_,2910,0.6714531878230902
2411,3609,filledg_allupper_,3010,0.6680520919922416
2480,3740,filledg_allupper_,3110,0.6631016042780749
2564,3856,filledg_allupper_,3210,0.6649377593360996
2655,3965,filledg_allupper_,3310,0.669609079445145
2743,4077,filledg_allupper_,3410,0.6727986264410105
2821,4199,filledg_allupper_,3510,0.6718266253869969
2901,4319,filledg_allupper_,3610,0.6716832600138921
2986,4434,filledg_allupper_,3710,0.6734325665313486
3067,4553,filledg_allupper_,3810,0.6736217878321985
3147,4673,filledg_allupper_,3910,0.6734431842499465
3235,4785,filledg_allupper_,4010,0.6760710553814002
3309,4911,filledg_allupper_,4110,0.6737935247403788
3382,5038,filledg_allupper_,4210,0.6712981341802302
3465,5155,filledg_allupper_,4310,0.6721629485935985
3537,5283,filledg_allupper_,4410,0.6695059625212947
3614,5406,filledg_allupper_,4510,0.6685164631890492
3704,5516,filledg_allupper_,4610,0.6715010877447426
3783,5637,filledg_allupper_,4710,0.6711016498137307
3854,5766,filledg_allupper_,4810,0.6684009712105445
3925,5895,filledg_allupper_,4910,0.6658184902459712
