size intersection,size union,state,k,mean JI
8,12,filledg_allmale_,10,0.6666666666666666
97,123,filledg_allmale_,110,0.7886178861788617
182,238,filledg_allmale_,210,0.7647058823529411
266,354,filledg_allmale_,310,0.751412429378531
353,467,filledg_allmale_,410,0.7558886509635975
440,580,filledg_allmale_,510,0.7586206896551724
523,697,filledg_allmale_,610,0.7503586800573888
609,811,filledg_allmale_,710,0.750924784217016
696,924,filledg_allmale_,810,0.7532467532467533
781,1039,filledg_allmale_,910,0.7516843118383061
856,1164,filledg_allmale_,1010,0.7353951890034365
940,1280,filledg_allmale_,1110,0.734375
1021,1399,filledg_allmale_,1210,0.729807005003574
1108,1512,filledg_allmale_,1310,0.7328042328042328
1181,1639,filledg_allmale_,1410,0.7205613178767541
1273,1747,filledg_allmale_,1510,0.728677733257012
1357,1863,filledg_allmale_,1610,0.7283950617283951
1443,1977,filledg_allmale_,1710,0.7298937784522003
1524,2096,filledg_allmale_,1810,0.7270992366412213
1608,2212,filledg_allmale_,1910,0.7269439421338155
1700,2320,filledg_allmale_,2010,0.7327586206896551
1791,2429,filledg_allmale_,2110,0.7373404693289419
1869,2551,filledg_allmale_,2210,0.7326538612308898
1961,2659,filledg_allmale_,2310,0.7374952989845807
2044,2776,filledg_allmale_,2410,0.7363112391930836
2129,2891,filledg_allmale_,2510,0.736423382912487
2208,3012,filledg_allmale_,2610,0.7330677290836654
2302,3118,filledg_allmale_,2710,0.7382937780628608
2382,3238,filledg_allmale_,2810,0.7356392835083385
2462,3358,filledg_allmale_,2910,0.7331745086360929
2544,3476,filledg_allmale_,3010,0.7318757192174914
2627,3593,filledg_allmale_,3110,0.7311438908989703
2709,3711,filledg_allmale_,3210,0.7299919159256265
2801,3819,filledg_allmale_,3310,0.7334380727939251
2887,3933,filledg_allmale_,3410,0.734045258072718
2971,4049,filledg_allmale_,3510,0.733761422573475
3067,4153,filledg_allmale_,3610,0.7385022875030098
3147,4273,filledg_allmale_,3710,0.7364849052188158
3234,4386,filledg_allmale_,3810,0.7373461012311902
3307,4513,filledg_allmale_,3910,0.7327719920230445
3412,4608,filledg_allmale_,4010,0.7404513888888888
3502,4718,filledg_allmale_,4110,0.7422636710470538
3583,4837,filledg_allmale_,4210,0.7407483977672111
3665,4955,filledg_allmale_,4310,0.739656912209889
3743,5077,filledg_allmale_,4410,0.7372464053574946
3832,5188,filledg_allmale_,4510,0.7386276021588281
3918,5302,filledg_allmale_,4610,0.7389664277631083
3990,5430,filledg_allmale_,4710,0.7348066298342542
4071,5549,filledg_allmale_,4810,0.7336457019282754
4152,5668,filledg_allmale_,4910,0.7325335215243473
