size intersection,size union,state,k,mean JI
2,18,filledg_alllower_,10,0.1111111111111111
26,194,filledg_alllower_,110,0.13402061855670103
57,363,filledg_alllower_,210,0.15702479338842976
98,522,filledg_alllower_,310,0.18773946360153257
128,692,filledg_alllower_,410,0.18497109826589594
169,851,filledg_alllower_,510,0.19858989424206816
196,1024,filledg_alllower_,610,0.19140625
230,1190,filledg_alllower_,710,0.19327731092436976
271,1349,filledg_alllower_,810,0.20088954781319496
306,1514,filledg_alllower_,910,0.202113606340819
352,1668,filledg_alllower_,1010,0.21103117505995203
396,1824,filledg_alllower_,1110,0.21710526315789475
439,1981,filledg_alllower_,1210,0.22160524987380112
488,2132,filledg_alllower_,1310,0.22889305816135083
530,2290,filledg_alllower_,1410,0.2314410480349345
573,2447,filledg_alllower_,1510,0.2341642827952595
613,2607,filledg_alllower_,1610,0.2351361718450326
655,2765,filledg_alllower_,1710,0.23688969258589512
706,2914,filledg_alllower_,1810,0.24227865477007549
756,3064,filledg_alllower_,1910,0.24673629242819844
808,3212,filledg_alllower_,2010,0.25155666251556663
861,3359,filledg_alllower_,2110,0.25632628758559095
901,3519,filledg_alllower_,2210,0.2560386473429952
942,3678,filledg_alllower_,2310,0.2561174551386623
986,3834,filledg_alllower_,2410,0.2571726656233698
1035,3985,filledg_alllower_,2510,0.25972396486825594
1082,4138,filledg_alllower_,2610,0.2614789753504108
1133,4287,filledg_alllower_,2710,0.2642873804525309
1181,4439,filledg_alllower_,2810,0.2660509123676504
1228,4592,filledg_alllower_,2910,0.26742160278745647
1279,4741,filledg_alllower_,3010,0.26977430921746465
1324,4896,filledg_alllower_,3110,0.2704248366013072
1372,5048,filledg_alllower_,3210,0.27179080824088747
1429,5191,filledg_alllower_,3310,0.27528414563667886
1474,5346,filledg_alllower_,3410,0.2757201646090535
1515,5505,filledg_alllower_,3510,0.27520435967302453
1569,5651,filledg_alllower_,3610,0.2776499734560255
1616,5804,filledg_alllower_,3710,0.27842866988283943
1664,5956,filledg_alllower_,3810,0.2793821356615178
1718,6102,filledg_alllower_,3910,0.28154703375942314
1764,6256,filledg_alllower_,4010,0.2819693094629156
1820,6400,filledg_alllower_,4110,0.284375
1865,6555,filledg_alllower_,4210,0.28451563691838294
1902,6718,filledg_alllower_,4310,0.2831199761833879
1952,6868,filledg_alllower_,4410,0.28421665695981363
2002,7018,filledg_alllower_,4510,0.2852664576802508
2056,7164,filledg_alllower_,4610,0.2869905080960357
2110,7310,filledg_alllower_,4710,0.28864569083447333
2150,7470,filledg_alllower_,4810,0.2878179384203481
2197,7623,filledg_alllower_,4910,0.2882067427521973
