size intersection,size union,state,k,mean JI
6,14,filledg_alllower_,10,0.42857142857142855
76,144,filledg_alllower_,110,0.5277777777777778
140,280,filledg_alllower_,210,0.5
206,414,filledg_alllower_,310,0.4975845410628019
268,552,filledg_alllower_,410,0.4855072463768116
330,690,filledg_alllower_,510,0.4782608695652174
405,815,filledg_alllower_,610,0.49693251533742333
469,951,filledg_alllower_,710,0.4931650893796004
522,1098,filledg_alllower_,810,0.47540983606557374
585,1235,filledg_alllower_,910,0.47368421052631576
647,1373,filledg_alllower_,1010,0.4712308812818645
709,1511,filledg_alllower_,1110,0.4692256783587028
773,1647,filledg_alllower_,1210,0.4693381906496661
834,1786,filledg_alllower_,1310,0.4669652855543113
895,1925,filledg_alllower_,1410,0.4649350649350649
961,2059,filledg_alllower_,1510,0.46673142302088394
1027,2193,filledg_alllower_,1610,0.4683082535339717
1087,2333,filledg_alllower_,1710,0.46592370338619804
1152,2468,filledg_alllower_,1810,0.46677471636953
1206,2614,filledg_alllower_,1910,0.4613618974751339
1281,2739,filledg_alllower_,2010,0.46768893756845564
1336,2884,filledg_alllower_,2110,0.463245492371706
1391,3029,filledg_alllower_,2210,0.4592274678111588
1449,3171,filledg_alllower_,2310,0.45695364238410596
1493,3327,filledg_alllower_,2410,0.4487526299969943
1550,3470,filledg_alllower_,2510,0.44668587896253603
1597,3623,filledg_alllower_,2610,0.4407949213359095
1663,3757,filledg_alllower_,2710,0.4426404045781208
1729,3891,filledg_alllower_,2810,0.4443587766640966
1806,4014,filledg_alllower_,2910,0.4499252615844544
1867,4153,filledg_alllower_,3010,0.44955453888755115
1930,4290,filledg_alllower_,3110,0.44988344988344986
1990,4430,filledg_alllower_,3210,0.4492099322799097
2034,4586,filledg_alllower_,3310,0.44352376798953336
2099,4721,filledg_alllower_,3410,0.4446091929675916
2161,4859,filledg_alllower_,3510,0.44474171640255195
2221,4999,filledg_alllower_,3610,0.4442888577715543
2284,5136,filledg_alllower_,3710,0.4447040498442368
2328,5292,filledg_alllower_,3810,0.4399092970521542
2392,5428,filledg_alllower_,3910,0.4406779661016949
2453,5567,filledg_alllower_,4010,0.44063229746721755
2508,5712,filledg_alllower_,4110,0.43907563025210083
2561,5859,filledg_alllower_,4210,0.43710530807305004
2629,5991,filledg_alllower_,4310,0.4388249040227007
2687,6133,filledg_alllower_,4410,0.4381216370454916
2743,6277,filledg_alllower_,4510,0.43699219372311615
2805,6415,filledg_alllower_,4610,0.4372564302416212
2863,6557,filledg_alllower_,4710,0.43663260637486656
2923,6697,filledg_alllower_,4810,0.43646408839779005
2977,6843,filledg_alllower_,4910,0.4350431097471869
