size intersection,size union,state,k,mean JI
7,13,filledg_allmale_,10,0.5384615384615384
79,141,filledg_allmale_,110,0.5602836879432624
147,273,filledg_allmale_,210,0.5384615384615384
216,404,filledg_allmale_,310,0.5346534653465347
282,538,filledg_allmale_,410,0.5241635687732342
344,676,filledg_allmale_,510,0.5088757396449705
417,803,filledg_allmale_,610,0.5193026151930261
486,934,filledg_allmale_,710,0.5203426124197003
555,1065,filledg_allmale_,810,0.5211267605633803
620,1200,filledg_allmale_,910,0.5166666666666667
682,1338,filledg_allmale_,1010,0.5097159940209267
739,1481,filledg_allmale_,1110,0.4989871708305199
788,1632,filledg_allmale_,1210,0.48284313725490197
859,1761,filledg_allmale_,1310,0.48779102782509937
921,1899,filledg_allmale_,1410,0.4849921011058452
984,2036,filledg_allmale_,1510,0.48330058939096265
1040,2180,filledg_allmale_,1610,0.47706422018348627
1093,2327,filledg_allmale_,1710,0.46970348087666525
1157,2463,filledg_allmale_,1810,0.4697523345513601
1214,2606,filledg_allmale_,1910,0.4658480429777437
1264,2756,filledg_allmale_,2010,0.45863570391872277
1328,2892,filledg_allmale_,2110,0.45919778699861685
1386,3034,filledg_allmale_,2210,0.45682267633487145
1436,3184,filledg_allmale_,2310,0.4510050251256281
1495,3325,filledg_allmale_,2410,0.4496240601503759
1552,3468,filledg_allmale_,2510,0.447520184544406
1605,3615,filledg_allmale_,2610,0.44398340248962653
1665,3755,filledg_allmale_,2710,0.4434087882822903
1718,3902,filledg_allmale_,2810,0.44028703229113275
1764,4056,filledg_allmale_,2910,0.4349112426035503
1821,4199,filledg_allmale_,3010,0.43367468444867824
1868,4352,filledg_allmale_,3110,0.42922794117647056
1926,4494,filledg_allmale_,3210,0.42857142857142855
1971,4649,filledg_allmale_,3310,0.4239621423962142
2023,4797,filledg_allmale_,3410,0.42172190952678756
2080,4940,filledg_allmale_,3510,0.42105263157894735
2124,5096,filledg_allmale_,3610,0.41679748822605966
2184,5236,filledg_allmale_,3710,0.41711229946524064
2232,5388,filledg_allmale_,3810,0.4142538975501114
2276,5544,filledg_allmale_,3910,0.41053391053391053
2331,5689,filledg_allmale_,4010,0.40973809105290915
2377,5843,filledg_allmale_,4110,0.4068115693992812
2419,6001,filledg_allmale_,4210,0.4030994834194301
2469,6151,filledg_allmale_,4310,0.4013981466428223
2520,6300,filledg_allmale_,4410,0.4
2582,6438,filledg_allmale_,4510,0.40105622864243556
2626,6594,filledg_allmale_,4610,0.39824082499241736
2686,6734,filledg_allmale_,4710,0.3988713988713989
2750,6870,filledg_allmale_,4810,0.4002911208151383
2808,7012,filledg_allmale_,4910,0.4004563605248146
