size intersection,size union,state,k,mean JI
6,14,filledg_allupper_,10,0.42857142857142855
64,156,filledg_allupper_,110,0.41025641025641024
132,288,filledg_allupper_,210,0.4583333333333333
194,426,filledg_allupper_,310,0.45539906103286387
252,568,filledg_allupper_,410,0.44366197183098594
311,709,filledg_allupper_,510,0.4386459802538787
367,853,filledg_allupper_,610,0.43024618991793667
424,996,filledg_allupper_,710,0.42570281124497994
482,1138,filledg_allupper_,810,0.4235500878734622
546,1274,filledg_allupper_,910,0.42857142857142855
607,1413,filledg_allupper_,1010,0.4295824486907289
659,1561,filledg_allupper_,1110,0.4221652786675208
728,1692,filledg_allupper_,1210,0.4302600472813239
785,1835,filledg_allupper_,1310,0.42779291553133514
845,1975,filledg_allupper_,1410,0.4278481012658228
901,2119,filledg_allupper_,1510,0.4252005663048608
948,2272,filledg_allupper_,1610,0.41725352112676056
1012,2408,filledg_allupper_,1710,0.420265780730897
1074,2546,filledg_allupper_,1810,0.4218381775333857
1132,2688,filledg_allupper_,1910,0.4211309523809524
1203,2817,filledg_allupper_,2010,0.42705005324813633
1267,2953,filledg_allupper_,2110,0.4290551981036234
1340,3080,filledg_allupper_,2210,0.43506493506493504
1404,3216,filledg_allupper_,2310,0.43656716417910446
1482,3338,filledg_allupper_,2410,0.4439784301977232
1535,3485,filledg_allupper_,2510,0.44045911047345765
1595,3625,filledg_allupper_,2610,0.44
1661,3759,filledg_allupper_,2710,0.4418728385208832
1715,3905,filledg_allupper_,2810,0.43918053777208704
1776,4044,filledg_allupper_,2910,0.4391691394658754
1829,4191,filledg_allupper_,3010,0.4364113576712002
1885,4335,filledg_allupper_,3110,0.4348327566320646
1935,4485,filledg_allupper_,3210,0.431438127090301
1999,4621,filledg_allupper_,3310,0.43259034840943517
2056,4764,filledg_allupper_,3410,0.43157010915197314
2115,4905,filledg_allupper_,3510,0.43119266055045874
2174,5046,filledg_allupper_,3610,0.43083630598493855
2236,5184,filledg_allupper_,3710,0.43132716049382713
2307,5313,filledg_allupper_,3810,0.4342179559570864
2371,5449,filledg_allupper_,3910,0.43512571113965864
2424,5596,filledg_allupper_,4010,0.43316654753395284
2484,5736,filledg_allupper_,4110,0.4330543933054393
2544,5876,filledg_allupper_,4210,0.4329475833900613
2608,6012,filledg_allupper_,4310,0.4337990685296075
2668,6152,filledg_allupper_,4410,0.4336801040312094
2742,6278,filledg_allupper_,4510,0.43676330041414463
2811,6409,filledg_allupper_,4610,0.43860196598533313
2863,6557,filledg_allupper_,4710,0.43663260637486656
2918,6702,filledg_allupper_,4810,0.43539242017308266
2990,6830,filledg_allupper_,4910,0.4377745241581259
