size intersection,size union,state,k,mean JI
8,12,filledg_allfemale_,10,0.6666666666666666
32,188,filledg_allfemale_,110,0.1702127659574468
60,360,filledg_allfemale_,210,0.16666666666666666
95,525,filledg_allfemale_,310,0.18095238095238095
136,684,filledg_allfemale_,410,0.19883040935672514
178,842,filledg_allfemale_,510,0.21140142517814728
216,1004,filledg_allfemale_,610,0.2151394422310757
264,1156,filledg_allfemale_,710,0.22837370242214533
309,1311,filledg_allfemale_,810,0.23569794050343248
348,1472,filledg_allfemale_,910,0.23641304347826086
386,1634,filledg_allfemale_,1010,0.23623011015911874
424,1796,filledg_allfemale_,1110,0.23608017817371937
465,1955,filledg_allfemale_,1210,0.23785166240409208
510,2110,filledg_allfemale_,1310,0.24170616113744076
560,2260,filledg_allfemale_,1410,0.24778761061946902
600,2420,filledg_allfemale_,1510,0.24793388429752067
645,2575,filledg_allfemale_,1610,0.2504854368932039
694,2726,filledg_allfemale_,1710,0.2545854732208364
734,2886,filledg_allfemale_,1810,0.2543312543312543
781,3039,filledg_allfemale_,1910,0.25699243172096087
829,3191,filledg_allfemale_,2010,0.25979316828580384
877,3343,filledg_allfemale_,2110,0.2623392162728089
927,3493,filledg_allfemale_,2210,0.26538791869453193
984,3636,filledg_allfemale_,2310,0.2706270627062706
1031,3789,filledg_allfemale_,2410,0.2721034573766165
1085,3935,filledg_allfemale_,2510,0.27573062261753495
1141,4079,filledg_allfemale_,2610,0.2797254228977691
1179,4241,filledg_allfemale_,2710,0.2780004715868899
1220,4400,filledg_allfemale_,2810,0.2772727272727273
1274,4546,filledg_allfemale_,2910,0.28024637043554773
1320,4700,filledg_allfemale_,3010,0.28085106382978725
1361,4859,filledg_allfemale_,3110,0.2800987857583865
1407,5013,filledg_allfemale_,3210,0.28067025733093953
1451,5169,filledg_allfemale_,3310,0.2807119365447862
1490,5330,filledg_allfemale_,3410,0.2795497185741088
1543,5477,filledg_allfemale_,3510,0.28172357129815595
1590,5630,filledg_allfemale_,3610,0.2824156305506217
1641,5779,filledg_allfemale_,3710,0.283959162484859
1694,5926,filledg_allfemale_,3810,0.28585892676341546
1740,6080,filledg_allfemale_,3910,0.28618421052631576
1793,6227,filledg_allfemale_,4010,0.28793961779348
1839,6381,filledg_allfemale_,4110,0.28819934179595674
1882,6538,filledg_allfemale_,4210,0.28785561333741205
1927,6693,filledg_allfemale_,4310,0.28791274465859856
1976,6844,filledg_allfemale_,4410,0.2887200467562829
2028,6992,filledg_allfemale_,4510,0.290045766590389
2080,7140,filledg_allfemale_,4610,0.2913165266106443
2126,7294,filledg_allfemale_,4710,0.291472443103921
2169,7451,filledg_allfemale_,4810,0.29110186552140654
2206,7614,filledg_allfemale_,4910,0.28972944575781456
