size intersection,size union,state,k,mean JI
3,17,filledg_alllower_,10,0.17647058823529413
18,202,filledg_alllower_,110,0.0891089108910891
50,370,filledg_alllower_,210,0.13513513513513514
80,540,filledg_alllower_,310,0.14814814814814814
112,708,filledg_alllower_,410,0.15819209039548024
143,877,filledg_alllower_,510,0.1630558722919042
171,1049,filledg_alllower_,610,0.16301239275500476
214,1206,filledg_alllower_,710,0.17744610281923714
250,1370,filledg_alllower_,810,0.18248175182481752
284,1536,filledg_alllower_,910,0.18489583333333334
318,1702,filledg_alllower_,1010,0.18683901292596944
359,1861,filledg_alllower_,1110,0.19290703922622246
393,2027,filledg_alllower_,1210,0.19388258510113468
431,2189,filledg_alllower_,1310,0.19689355870260392
463,2357,filledg_alllower_,1410,0.19643614764531184
499,2521,filledg_alllower_,1510,0.19793732645775486
532,2688,filledg_alllower_,1610,0.19791666666666666
566,2854,filledg_alllower_,1710,0.19831814996496147
611,3009,filledg_alllower_,1810,0.2030574941841143
652,3168,filledg_alllower_,1910,0.2058080808080808
690,3330,filledg_alllower_,2010,0.2072072072072072
729,3491,filledg_alllower_,2110,0.20882268690919506
767,3653,filledg_alllower_,2210,0.2099644128113879
806,3814,filledg_alllower_,2310,0.21132669113791294
848,3972,filledg_alllower_,2410,0.2134944612286002
883,4137,filledg_alllower_,2510,0.213439690597051
915,4305,filledg_alllower_,2610,0.21254355400696864
956,4464,filledg_alllower_,2710,0.21415770609318996
995,4625,filledg_alllower_,2810,0.21513513513513513
1030,4790,filledg_alllower_,2910,0.2150313152400835
1076,4944,filledg_alllower_,3010,0.21763754045307443
1116,5104,filledg_alllower_,3110,0.21865203761755486
1150,5270,filledg_alllower_,3210,0.21821631878557876
1185,5435,filledg_alllower_,3310,0.21803127874885003
1215,5605,filledg_alllower_,3410,0.2167707404103479
1245,5775,filledg_alllower_,3510,0.21558441558441557
1286,5934,filledg_alllower_,3610,0.21671722278395686
1322,6098,filledg_alllower_,3710,0.21679239094785174
1360,6260,filledg_alllower_,3810,0.21725239616613418
1394,6426,filledg_alllower_,3910,0.21693121693121692
1435,6585,filledg_alllower_,4010,0.21791951404707668
1467,6753,filledg_alllower_,4110,0.21723678365171034
1499,6921,filledg_alllower_,4210,0.21658719838173673
1537,7083,filledg_alllower_,4310,0.2169984469857405
1571,7249,filledg_alllower_,4410,0.21671954752379638
1597,7423,filledg_alllower_,4510,0.2151421258251381
1635,7585,filledg_alllower_,4610,0.21555702043506922
1677,7743,filledg_alllower_,4710,0.21658271987601704
1718,7902,filledg_alllower_,4810,0.21741331308529485
1763,8057,filledg_alllower_,4910,0.21881593645277397
