size intersection,size union,state,k,mean JI
0,20,filledg_allasian_,10,0.0
4,216,filledg_allasian_,110,0.018518518518518517
8,412,filledg_allasian_,210,0.019417475728155338
19,601,filledg_allasian_,310,0.03161397670549085
30,790,filledg_allasian_,410,0.0379746835443038
39,981,filledg_allasian_,510,0.039755351681957186
53,1167,filledg_allasian_,610,0.04541559554413025
72,1348,filledg_allasian_,710,0.05341246290801187
92,1528,filledg_allasian_,810,0.060209424083769635
104,1716,filledg_allasian_,910,0.06060606060606061
120,1900,filledg_allasian_,1010,0.06315789473684211
137,2083,filledg_allasian_,1110,0.0657705232837254
150,2270,filledg_allasian_,1210,0.06607929515418502
174,2446,filledg_allasian_,1310,0.07113654946852004
191,2629,filledg_allasian_,1410,0.07265119817421073
219,2801,filledg_allasian_,1510,0.07818636201356659
234,2986,filledg_allasian_,1610,0.0783657066309444
258,3162,filledg_allasian_,1710,0.08159392789373814
278,3342,filledg_allasian_,1810,0.0831837223219629
299,3521,filledg_allasian_,1910,0.0849190570860551
330,3690,filledg_allasian_,2010,0.08943089430894309
352,3868,filledg_allasian_,2110,0.09100310237849017
380,4040,filledg_allasian_,2210,0.09405940594059406
402,4218,filledg_allasian_,2310,0.0953058321479374
432,4388,filledg_allasian_,2410,0.09845031905195989
453,4567,filledg_allasian_,2510,0.09918984015765273
471,4749,filledg_allasian_,2610,0.09917877447883765
493,4927,filledg_allasian_,2710,0.10006088897909478
520,5100,filledg_allasian_,2810,0.10196078431372549
548,5272,filledg_allasian_,2910,0.1039453717754173
569,5451,filledg_allasian_,3010,0.10438451660245826
594,5626,filledg_allasian_,3110,0.10558123000355492
625,5795,filledg_allasian_,3210,0.10785159620362382
659,5961,filledg_allasian_,3310,0.11055192081865459
693,6127,filledg_allasian_,3410,0.11310592459605028
722,6298,filledg_allasian_,3510,0.11463956811686249
754,6466,filledg_allasian_,3610,0.11660995978966904
776,6644,filledg_allasian_,3710,0.11679711017459361
809,6811,filledg_allasian_,3810,0.11877844663045074
834,6986,filledg_allasian_,3910,0.11938162038362439
861,7159,filledg_allasian_,4010,0.12026819388182707
886,7334,filledg_allasian_,4110,0.12080719934551404
919,7501,filledg_allasian_,4210,0.12251699773363552
949,7671,filledg_allasian_,4310,0.1237126841350541
969,7851,filledg_allasian_,4410,0.12342376767290791
994,8026,filledg_allasian_,4510,0.12384749563917269
1025,8195,filledg_allasian_,4610,0.12507626601586333
1056,8364,filledg_allasian_,4710,0.12625538020086083
1082,8538,filledg_allasian_,4810,0.1267275708596861
1105,8715,filledg_allasian_,4910,0.1267928858290304
